onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.472196	2	3	121.jpg	1	0.8540472	1	1	1	1	0.2
38.264971	2	10	107.jpg	2	0.93347307	1	0	0	0	0.04
43.957961	2	9	125.jpg	1	0.72348853	1	0	1	1	0.29
54.781911	2	6	128.jpg	2	0.81639596	1	1	0	0	-0.03
62.5321	2	1	118.jpg	1	0.78961184	1	1	1	0	-0.1
70.282008	2	15	124.jpg	1	0.7911744	1	0	2	2	0.48
81.115144	2	12	137.jpg	2	1.1652224	1	0	0	0	0.03
86.79881	2	2	136.jpg	2	0.71464171	1	1	0	0	0
96.581271	2	11	123.jpg	2	0.85499461	0	0	1	0	0.21
104.31571	2	8	138.jpg	2	0.80588299	1	1	0	0	-0.04
114.10307	2	7	101.jpg	1	0.80906629	1	1	2	2	0.48
122.8878	2	16	111.jpg	2	1.0421982	1	0	0	0	-0.04
128.58867	2	14	133.jpg	2	0.85982408	1	0	0	-1	-0.24
134.28126	2	4	127.jpg	2	0.80131489	1	1	0	0	0.04
139.9735	2	5	119.jpg	1	0.70899737	1	1	2	2	0.48
146.69881	2	8	138.jpg	2	0.77887886	1	1	0	-1	-0.27
154.44894	2	9	125.jpg	1	0.74421576	1	0	1	1	0.29
160.14895	2	2	136.jpg	2	0.71903105	1	1	0	0	-0.04
166.88244	2	13	115.jpg	1	1.0638053	1	0	2	0	-0.01
175.66583	2	14	133.jpg	2	0.72305468	1	0	0	0	-0.03
184.44902	2	13	115.jpg	1	1.240285	1	0	2	2	0.47
191.16577	2	1	118.jpg	1	0.7679665	1	1	1	1	0.26
201.98412	2	12	137.jpg	2	0.89635802	1	0	0	0	0
207.66899	2	3	121.jpg	1	0.73105058	1	1	1	1	0.27
213.37499	2	16	111.jpg	2	1.3612996	1	0	0	0	0.02
222.15439	2	15	124.jpg	1	0.73092862	1	0	2	0	-0.04
232.98358	2	5	119.jpg	1	0.74506203	1	1	2	2	0.45
238.67359	2	10	107.jpg	2	0.8241863	1	0	0	0	0.01
247.44933	2	3	121.jpg	1	0.85438631	1	1	1	0	-0.07
253.14259	2	4	127.jpg	2	0.69497851	1	1	0	0	-0.03
261.91629	2	7	101.jpg	1	0.82898924	1	1	2	2	0.41
269.66631	2	11	123.jpg	2	0.92102982	0	0	1	1	-0.01
276.39966	2	6	128.jpg	2	0.63667543	1	1	0	-1	-0.25
285.18279	2	15	124.jpg	1	0.59874133	1	0	2	2	0.41
294.96651	2	1	118.jpg	1	0.85559184	1	1	1	1	0.24
303.73447	2	13	115.jpg	1	1.2710116	1	0	2	2	0.44
312.50254	2	10	107.jpg	2	0.80155053	1	0	0	0	-0.01
319.23729	2	4	127.jpg	2	0.79674606	1	1	0	0	0
325.97215	2	11	123.jpg	2	0.66209816	0	0	1	1	-0.03
332.70593	2	16	111.jpg	2	1.5801018	1	0	0	0	0
342.49912	2	8	138.jpg	2	0.74381503	1	1	0	0	0.04
348.19157	2	7	101.jpg	1	0.76082393	1	1	2	0	-0.01
359.01457	2	6	128.jpg	2	0.81308783	1	1	0	0	0.05
366.76684	2	12	137.jpg	2	0.8088919	1	0	0	-1	-0.27
372.46473	2	5	119.jpg	1	0.73142957	1	1	2	2	0.48
379.18345	2	2	136.jpg	2	1.080998	1	1	0	0	-0.02
