onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0240667	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
5.2528588	1.5	5	119.jpg	n/a	n/a	n/a	1	1	n/a
8.2281359	1.5	8	138.jpg	n/a	n/a	n/a	1	0	n/a
10.523018	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
12.486297	1.5	3	121.jpg	n/a	n/a	n/a	1	1	n/a
15.512782	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
17.966439	1.5	9	125.jpg	n/a	n/a	n/a	0	1	n/a
20.52718	1.5	15	124.jpg	n/a	n/a	n/a	0	1	n/a
22.534057	1.5	16	111.jpg	n/a	n/a	n/a	0	0	n/a
25.204103	1.5	5	119.jpg	1	1.9071813	1	1	1	27.704103
33.819006	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
37.019644	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
39.611153	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
42.320741	1.5	16	111.jpg	2	0.8396339	1	0	0	44.820741
49.13492	1.5	8	138.jpg	n/a	n/a	n/a	1	0	n/a
52.268846	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
55.182856	1.5	15	124.jpg	n/a	n/a	n/a	0	1	n/a
57.059932	1.5	9	125.jpg	n/a	n/a	n/a	0	1	n/a
59.116592	1.5	2	136.jpg	n/a	n/a	n/a	1	0	n/a
61.644008	1.5	4	127.jpg	n/a	n/a	n/a	1	0	n/a
63.449992	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
66.518023	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
68.435581	1.5	13	115.jpg	n/a	n/a	n/a	0	1	n/a
71.091945	1.5	9	125.jpg	n/a	n/a	n/a	0	1	n/a
74.332826	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
76.263406	1.5	16	111.jpg	n/a	n/a	n/a	0	0	n/a
78.04658	1.5	11	123.jpg	n/a	n/a	n/a	0	1	n/a
80.180283	1.5	13	115.jpg	n/a	n/a	n/a	0	1	n/a
83.233672	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
85.113396	1.5	6	128.jpg	2	0.92594454	1	1	0	87.613396
91.680294	1.5	14	133.jpg	n/a	n/a	n/a	0	0	n/a
94.06364	1.5	5	119.jpg	n/a	n/a	n/a	1	1	n/a
96.397003	1.5	3	121.jpg	n/a	n/a	n/a	1	1	n/a
98.751505	1.5	2	136.jpg	n/a	n/a	n/a	1	0	n/a
100.74016	1.5	8	138.jpg	n/a	n/a	n/a	1	0	n/a
103.22054	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
105.83702	1.5	3	121.jpg	n/a	n/a	n/a	1	1	n/a
108.07381	1.5	11	123.jpg	n/a	n/a	n/a	0	1	n/a
110.02689	1.5	13	115.jpg	n/a	n/a	n/a	0	1	n/a
111.89387	1.5	4	127.jpg	n/a	n/a	n/a	1	0	n/a
114.11985	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
116.68715	1.5	11	123.jpg	2	0.92942351	0	0	1	119.18715
123.18696	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
126.31414	1.5	3	121.jpg	n/a	n/a	n/a	1	1	n/a
128.12869	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
130.12547	1.5	8	138.jpg	2	0.74007341	1	1	0	132.62547
136.65193	1.5	2	136.jpg	n/a	n/a	n/a	1	0	n/a
139.53358	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
142.74753	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
145.94446	1.5	9	125.jpg	n/a	n/a	n/a	0	1	n/a
148.6254	1.5	11	123.jpg	n/a	n/a	n/a	0	1	n/a
151.51217	1.5	16	111.jpg	n/a	n/a	n/a	0	0	n/a
154.23207	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
157.35989	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
159.75726	1.5	3	121.jpg	1	0.61260588	1	1	1	162.25726
165.8945	1.5	5	119.jpg	n/a	n/a	n/a	1	1	n/a
168.18104	1.5	2	136.jpg	n/a	n/a	n/a	1	0	n/a
170.66342	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
173.21751	1.5	14	133.jpg	n/a	n/a	n/a	0	0	n/a
176.3064	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
178.11027	1.5	11	123.jpg	n/a	n/a	n/a	0	1	n/a
180.13763	1.5	15	124.jpg	n/a	n/a	n/a	0	1	n/a
183.3142	1.5	12	137.jpg	n/a	n/a	n/a	0	0	n/a
185.77673	1.5	16	111.jpg	n/a	n/a	n/a	0	0	n/a
188.20402	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
190.29739	1.5	8	138.jpg	n/a	n/a	n/a	1	0	n/a
192.56003	1.5	9	125.jpg	n/a	n/a	n/a	0	1	n/a
194.8876	1.5	11	123.jpg	n/a	n/a	n/a	0	1	n/a
197.74422	1.5	14	133.jpg	n/a	n/a	n/a	0	0	n/a
200.86099	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
202.63761	1.5	6	128.jpg	n/a	n/a	n/a	1	0	n/a
204.84444	1.5	14	133.jpg	2	0.84263444	1	0	0	207.34444
212.05529	1.5	4	127.jpg	n/a	n/a	n/a	1	0	n/a
