onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0292497	1.5	7	111.jpg	n/a	n/a	n/a	1	1	n/a
5.2539501	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
8.2314022	1.5	8	120.jpg	n/a	n/a	n/a	1	0	n/a
10.523647	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
12.504183	1.5	3	131.jpg	n/a	n/a	n/a	1	1	n/a
15.531042	1.5	1	122.jpg	n/a	n/a	n/a	1	1	n/a
17.984855	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
20.54539	1.5	15	126.jpg	n/a	n/a	n/a	0	1	n/a
22.552151	1.5	16	105.jpg	n/a	n/a	n/a	0	0	n/a
25.223026	1.5	5	129.jpg	1	1.3861704	1	1	1	27.723026
33.320513	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
36.521184	1.5	7	111.jpg	n/a	n/a	n/a	1	1	n/a
39.112383	1.5	1	122.jpg	n/a	n/a	n/a	1	1	n/a
41.822077	1.5	16	105.jpg	2	0.72679181	1	0	0	44.322077
48.536275	1.5	8	120.jpg	n/a	n/a	n/a	1	0	n/a
51.670476	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
54.584138	1.5	15	126.jpg	n/a	n/a	n/a	0	1	n/a
56.461459	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
58.524904	1.5	2	121.jpg	n/a	n/a	n/a	1	0	n/a
61.053945	1.5	4	113.jpg	n/a	n/a	n/a	1	0	n/a
62.859075	1.5	10	114.jpg	n/a	n/a	n/a	0	0	n/a
65.927248	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
67.844249	1.5	13	118.jpg	n/a	n/a	n/a	0	1	n/a
70.500785	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
73.751064	1.5	10	114.jpg	n/a	n/a	n/a	0	0	n/a
75.680503	1.5	16	105.jpg	n/a	n/a	n/a	0	0	n/a
77.464332	1.5	11	107.jpg	n/a	n/a	n/a	0	1	n/a
79.597561	1.5	13	118.jpg	n/a	n/a	n/a	0	1	n/a
82.651063	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
84.547526	1.5	6	110.jpg	2	0.78816347	1	1	0	87.047526
90.980988	1.5	14	130.jpg	n/a	n/a	n/a	0	0	n/a
93.364299	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
95.697683	1.5	3	131.jpg	n/a	n/a	n/a	1	1	n/a
98.051139	1.5	2	121.jpg	n/a	n/a	n/a	1	0	n/a
100.04143	1.5	8	120.jpg	n/a	n/a	n/a	1	0	n/a
102.52095	1.5	1	122.jpg	n/a	n/a	n/a	1	1	n/a
105.14128	1.5	3	131.jpg	n/a	n/a	n/a	1	1	n/a
107.39205	1.5	11	107.jpg	n/a	n/a	n/a	0	1	n/a
109.36106	1.5	13	118.jpg	n/a	n/a	n/a	0	1	n/a
111.22808	1.5	4	113.jpg	n/a	n/a	n/a	1	0	n/a
113.45449	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
116.02137	1.5	11	107.jpg	1	0.43451232	1	0	1	118.52137
122.02208	1.5	1	122.jpg	n/a	n/a	n/a	1	1	n/a
125.14944	1.5	3	131.jpg	n/a	n/a	n/a	1	1	n/a
126.96331	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
128.96116	1.5	8	120.jpg	2	0.63332741	1	1	0	131.46116
135.40483	1.5	2	121.jpg	n/a	n/a	n/a	1	0	n/a
138.28518	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
141.49864	1.5	10	114.jpg	n/a	n/a	n/a	0	0	n/a
144.69619	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
147.37547	1.5	11	107.jpg	n/a	n/a	n/a	0	1	n/a
150.28032	1.5	16	105.jpg	n/a	n/a	n/a	0	0	n/a
153.00066	1.5	10	114.jpg	n/a	n/a	n/a	0	0	n/a
156.12805	1.5	7	111.jpg	n/a	n/a	n/a	1	1	n/a
158.52474	1.5	3	131.jpg	1	0.39064573	1	1	1	161.02474
164.4392	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
166.72313	1.5	2	121.jpg	n/a	n/a	n/a	1	0	n/a
169.20587	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
171.75965	1.5	14	130.jpg	n/a	n/a	n/a	0	0	n/a
174.848	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
176.65037	1.5	11	107.jpg	n/a	n/a	n/a	0	1	n/a
178.67223	1.5	15	126.jpg	n/a	n/a	n/a	0	1	n/a
181.84879	1.5	12	128.jpg	n/a	n/a	n/a	0	0	n/a
184.31172	1.5	16	105.jpg	n/a	n/a	n/a	0	0	n/a
186.73783	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
188.83237	1.5	8	120.jpg	n/a	n/a	n/a	1	0	n/a
191.09424	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
193.42187	1.5	11	107.jpg	n/a	n/a	n/a	0	1	n/a
196.27829	1.5	14	130.jpg	n/a	n/a	n/a	0	0	n/a
199.39493	1.5	10	114.jpg	n/a	n/a	n/a	0	0	n/a
201.17152	1.5	6	110.jpg	n/a	n/a	n/a	1	0	n/a
203.39507	1.5	14	130.jpg	2	0.63045526	1	0	0	205.89507
210.40509	1.5	4	113.jpg	n/a	n/a	n/a	1	0	n/a
212.53177	1.5	3	131.jpg	n/a	n/a	n/a	1	1	n/a
214.34519	1.5	1	122.jpg	n/a	n/a	n/a	1	1	n/a
216.91185	1.5	15	126.jpg	n/a	n/a	n/a	0	1	n/a
218.73916	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
221.29562	1.5	4	113.jpg	2	0.55007914	1	1	0	223.79562
