onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0343049	1.5	7	121.jpg	n/a	n/a	n/a	1	1	n/a
5.2651645	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
8.2591775	1.5	8	119.jpg	n/a	n/a	n/a	1	0	n/a
10.552803	1.5	6	130.jpg	n/a	n/a	n/a	1	0	n/a
12.532843	1.5	3	134.jpg	n/a	n/a	n/a	1	1	n/a
15.557742	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
18.012072	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
20.574098	1.5	15	136.jpg	n/a	n/a	n/a	0	1	n/a
22.581158	1.5	16	110.jpg	n/a	n/a	n/a	0	0	n/a
25.251646	1.5	5	129.jpg	1	1.1361994	1	1	1	27.751646
33.109912	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
36.316788	1.5	7	121.jpg	n/a	n/a	n/a	1	1	n/a
38.915166	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
41.617723	1.5	16	110.jpg	2	1.093664	1	0	0	44.117723
48.696598	1.5	8	119.jpg	n/a	n/a	n/a	1	0	n/a
51.832671	1.5	6	130.jpg	n/a	n/a	n/a	1	0	n/a
54.746609	1.5	15	136.jpg	n/a	n/a	n/a	0	1	n/a
56.628632	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
58.692204	1.5	2	105.jpg	n/a	n/a	n/a	1	0	n/a
61.211304	1.5	4	137.jpg	n/a	n/a	n/a	1	0	n/a
63.008232	1.5	10	126.jpg	n/a	n/a	n/a	0	0	n/a
66.068114	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
67.985028	1.5	13	138.jpg	n/a	n/a	n/a	0	1	n/a
70.64172	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
73.88164	1.5	10	126.jpg	n/a	n/a	n/a	0	0	n/a
75.821741	1.5	16	110.jpg	n/a	n/a	n/a	0	0	n/a
77.603167	1.5	11	122.jpg	n/a	n/a	n/a	0	1	n/a
79.735486	1.5	13	138.jpg	n/a	n/a	n/a	0	1	n/a
82.791815	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
84.671258	1.5	6	130.jpg	2	0.73957213	1	1	0	87.171258
91.03866	1.5	14	115.jpg	n/a	n/a	n/a	0	0	n/a
93.422462	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
95.756314	1.5	3	134.jpg	n/a	n/a	n/a	1	1	n/a
98.110279	1.5	2	105.jpg	n/a	n/a	n/a	1	0	n/a
100.10043	1.5	8	119.jpg	n/a	n/a	n/a	1	0	n/a
102.57895	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
105.19802	1.5	3	134.jpg	n/a	n/a	n/a	1	1	n/a
107.43518	1.5	11	122.jpg	n/a	n/a	n/a	0	1	n/a
109.40548	1.5	13	138.jpg	n/a	n/a	n/a	0	1	n/a
111.27247	1.5	4	137.jpg	n/a	n/a	n/a	1	0	n/a
113.49954	1.5	6	130.jpg	n/a	n/a	n/a	1	0	n/a
116.06645	1.5	11	122.jpg	1	0.53556364	1	0	1	118.56645
122.16735	1.5	1	118.jpg	n/a	n/a	n/a	1	1	n/a
125.2949	1.5	3	134.jpg	n/a	n/a	n/a	1	1	n/a
127.10881	1.5	6	130.jpg	n/a	n/a	n/a	1	0	n/a
129.10568	1.5	8	119.jpg	2	0.76775265	1	1	0	131.60568
135.68	1.5	2	105.jpg	n/a	n/a	n/a	1	0	n/a
138.56239	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
141.7774	1.5	10	126.jpg	n/a	n/a	n/a	0	0	n/a
144.97465	1.5	9	108.jpg	n/a	n/a	n/a	0	1	n/a
147.64579	1.5	11	122.jpg	n/a	n/a	n/a	0	1	n/a
150.54239	1.5	16	110.jpg	n/a	n/a	n/a	0	0	n/a
153.25246	1.5	10	126.jpg	n/a	n/a	n/a	0	0	n/a
156.37886	1.5	7	121.jpg	n/a	n/a	n/a	1	1	n/a
158.77727	1.5	3	134.jpg	1	0.63815834	1	1	1	161.27727
164.92913	1.5	5	129.jpg	n/a	n/a	n/a	1	1	n/a
167.22238	1.5	2	105.jpg	n/a	n/a	n/a	1	0	n/a
169.70598	1.5	6	130.jpg	n/a	n/a	n/a	1	0	n/a
