onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.491497	2	3	106.jpg	1	0.85588517	1	1	1	1	0.26
38.291822	2	10	111.jpg	2	0.88130037	1	0	0	0	0.03
43.99295	2	9	118.jpg	1	0.80837397	1	0	1	1	0.26
54.82867	2	6	123.jpg	2	0.83546401	1	1	0	0	-0.04
62.571258	2	1	120.jpg	1	0.64691717	1	1	1	0	-0.09
70.314596	2	15	129.jpg	1	0.70961332	1	0	2	2	0.45
81.139254	2	12	124.jpg	2	0.84127997	1	0	0	0	0.02
86.839206	2	2	121.jpg	2	0.82407913	1	1	0	0	0.03
96.639422	2	11	107.jpg	1	0.67393192	1	0	1	0	-0.03
104.38918	2	8	104.jpg	2	0.82918105	1	1	0	0	-0.01
114.18943	2	7	133.jpg	1	0.87396898	1	1	2	2	0.5
122.95716	2	16	114.jpg	2	0.86081521	1	0	0	0	-0.05
128.64122	2	14	117.jpg	2	0.6854031	1	0	0	-1	-0.25
134.34204	2	4	105.jpg	2	0.6324353	1	1	0	0	-0.02
140.04297	2	5	101.jpg	1	0.7170954	1	1	2	2	0.44
146.77735	2	8	104.jpg	2	0.89755888	1	1	0	-1	-0.22
154.52877	2	9	118.jpg	1	0.79118263	1	0	1	1	0.23
160.22962	2	2	121.jpg	2	0.71668719	1	1	0	0	0.04
166.95647	2	13	102.jpg	1	0.76841365	1	0	2	0	-0.05
175.72262	2	14	117.jpg	2	0.82780287	1	0	0	0	-0.04
184.50046	2	13	102.jpg	1	0.68121952	1	0	2	2	0.41
191.22327	2	1	120.jpg	1	0.55588253	1	1	1	1	0.29
202.05638	2	12	124.jpg	2	0.83907383	1	0	0	0	0.01
207.75632	2	3	106.jpg	1	0.8448581	1	1	1	1	0.25
213.45656	2	16	114.jpg	2	0.77931776	1	0	0	0	0
222.22346	2	15	129.jpg	1	0.71832648	1	0	2	0	-0.05
233.04174	2	5	101.jpg	1	0.68132754	1	1	2	2	0.42
238.74255	2	10	111.jpg	2	0.83305658	1	0	0	0	0.01
247.52327	2	3	106.jpg	1	0.69740118	1	1	1	0	-0.07
253.21183	2	4	105.jpg	2	0.74693949	1	1	0	0	0.02
261.99673	2	7	133.jpg	1	0.80482057	1	1	2	2	0.45
269.74044	2	11	107.jpg	1	0.86847548	1	0	1	1	0.29
276.46479	2	6	123.jpg	2	0.81502526	1	1	0	-1	-0.22
285.24021	2	15	129.jpg	1	0.59481715	1	0	2	2	0.43
295.04014	2	1	120.jpg	1	0.66100282	1	1	1	1	0.29
303.82368	2	13	102.jpg	1	0.59378037	1	0	2	2	0.47
312.60695	2	10	111.jpg	2	0.73696379	1	0	0	0	-0.01
319.34029	2	4	105.jpg	2	0.70188101	1	1	0	0	-0.04
326.05747	2	11	107.jpg	1	0.63964931	1	0	1	1	0.21
332.77519	2	16	114.jpg	2	0.77549766	1	0	0	0	0.02
342.56002	2	8	104.jpg	2	0.71937662	1	1	0	0	0.03
348.26094	2	7	133.jpg	1	0.64306712	1	1	2	0	-0.07
359.09628	2	6	123.jpg	2	0.69582372	1	1	0	0	0
366.84729	2	12	124.jpg	2	0.84784898	1	0	0	-1	-0.27
372.54062	2	5	101.jpg	1	0.69448878	1	1	2	2	0.42
379.26533	2	2	121.jpg	2	0.69444382	1	1	0	0	-0.02
