onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0395868	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
5.2822564	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
8.2667311	1.5	8	117.jpg	n/a	n/a	n/a	1	0	n/a
10.560378	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
12.532301	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
15.567715	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
18.020767	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
20.589291	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
22.597807	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
25.276199	1.5	5	116.jpg	1	0.92741498	1	1	1	27.776199
32.912516	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
36.111715	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
38.702627	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
41.412586	1.5	16	106.jpg	1	0.78320501	0	0	0	43.912586
48.175929	1.5	8	117.jpg	n/a	n/a	n/a	1	0	n/a
51.309193	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
54.222415	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
56.099299	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
58.146213	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
60.66604	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
62.462437	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
65.522754	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
67.43913	1.5	13	126.jpg	n/a	n/a	n/a	0	1	n/a
70.097116	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
73.337591	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
75.260837	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
77.043972	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
79.179513	1.5	13	126.jpg	n/a	n/a	n/a	0	1	n/a
82.231489	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
84.112885	1.5	6	123.jpg	1	0.67884769	0	1	0	86.612885
90.429986	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
92.814241	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
95.148029	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
97.501661	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
99.491551	1.5	8	117.jpg	n/a	n/a	n/a	1	0	n/a
101.96651	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
104.58945	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
106.83628	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
108.79712	1.5	13	126.jpg	n/a	n/a	n/a	0	1	n/a
110.66405	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
112.89036	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
115.46616	1.5	11	124.jpg	1	0.65317285	1	0	1	117.96616
121.69209	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
124.82633	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
126.63978	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
128.6364	1.5	8	117.jpg	1	0.55288548	0	1	0	131.1364
134.99705	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
137.87654	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
141.08802	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
144.28554	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
146.9664	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
149.85324	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
152.57231	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
155.6999	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
158.08639	1.5	3	119.jpg	1	0.62915068	1	1	1	160.58639
164.23233	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
166.50997	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
168.99368	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
171.54726	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
174.62761	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
176.43156	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
178.45188	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
181.61909	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
184.07398	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
186.50319	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
188.58029	1.5	8	117.jpg	n/a	n/a	n/a	1	0	n/a
190.84395	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
193.17086	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
196.02781	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
199.14535	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
200.92229	1.5	6	123.jpg	n/a	n/a	n/a	1	0	n/a
203.14623	1.5	14	114.jpg	1	0.56536335	0	0	0	205.64623
210.08768	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
212.21723	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
214.03123	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
216.59807	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
218.42517	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
220.99018	1.5	4	133.jpg	1	0.54404374	0	1	0	223.49018
228.1095	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
230.99352	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
232.99701	1.5	8	117.jpg	n/a	n/a	n/a	1	0	n/a
235.21701	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
238.29028	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
240.39692	1.5	9	129.jpg	1	0.52709341	1	0	1	242.89692
246.48032	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
249.28055	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
251.79029	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
254.32711	1.5	13	126.jpg	n/a	n/a	n/a	0	1	n/a
257.50033	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
259.54789	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
262.49685	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
265.48694	1.5	11	124.jpg	n/a	n/a	n/a	0	1	n/a
268.37063	1.5	9	129.jpg	n/a	n/a	n/a	0	1	n/a
270.22391	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
273.24985	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
275.25831	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
277.82514	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
280.10211	1.5	15	110.jpg	n/a	n/a	n/a	0	1	n/a
282.749	1.5	13	126.jpg	n/a	n/a	n/a	0	1	n/a
285.14965	1.5	1	111.jpg	1	0.49880467	1	1	1	287.64965
292.14002	1.5	16	106.jpg	n/a	n/a	n/a	0	0	n/a
294.29106	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
296.73123	1.5	3	119.jpg	n/a	n/a	n/a	1	1	n/a
298.70499	1.5	5	116.jpg	n/a	n/a	n/a	1	1	n/a
301.1822	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
303.33374	1.5	2	101.jpg	n/a	n/a	n/a	1	0	n/a
306.06497	1.5	7	128.jpg	n/a	n/a	n/a	1	1	n/a
308.61008	1.5	1	111.jpg	n/a	n/a	n/a	1	1	n/a
311.63445	1.5	12	115.jpg	n/a	n/a	n/a	0	0	n/a
314.53769	1.5	2	101.jpg	1	0.6546553	0	1	0	317.03769
320.9286	1.5	14	114.jpg	n/a	n/a	n/a	0	0	n/a
