onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.487992	2	3	108.jpg	1	0.87360104	1	1	1	1	0.27
38.289793	2	10	117.jpg	2	1.2206214	1	0	0	0	-0.02
43.99068	2	9	105.jpg	1	0.96915834	1	0	1	1	0.28
54.82539	2	6	119.jpg	2	1.4555332	1	1	0	0	0.05
62.575929	2	1	138.jpg	1	1.3912733	1	1	1	0	-0.1
70.34487	2	15	106.jpg	1	0.83258316	1	0	2	2	0.43
81.170639	2	12	114.jpg	2	1.0246604	1	0	0	0	0.02
86.864353	2	2	137.jpg	1	1.2478558	0	1	0	0	-0.28
96.653921	2	11	134.jpg	1	1.0822946	1	0	1	0	-0.06
104.40373	2	8	104.jpg	2	0.94436129	1	1	0	0	0.02
114.20373	2	7	136.jpg	1	0.89757825	1	1	2	2	0.47
122.97048	2	16	122.jpg	2	0..jpg2259	1	0	0	0	0.03
128.65491	2	14	118.jpg	2	1.087513	1	0	0	-1	-0.2
134.33897	2	4	123.jpg	2	1.055021	1	1	0	0	0.02
140.03995	2	5	103.jpg	1	0.83240917	1	1	2	2	0.48
146.77449	2	8	104.jpg	2	0.90253757	1	1	0	-1	-0.21
154.52561	2	9	105.jpg	1	0.76557678	1	0	1	1	0.23
160.22556	2	2	137.jpg	2	1.1493226	1	1	0	0	0.04
166.95399	2	13	135.jpg	1	0.80556905	1	0	2	0	-0.07
175.72862	2	14	118.jpg	2	0.85358493	1	0	0	0	0.02
184.50425	2	13	135.jpg	1	0.89185489	1	0	2	2	0.47
191.23789	2	1	138.jpg	1	1.0619051	1	1	1	1	0.22
202.07079	2	12	114.jpg	2	0.95618666	1	0	0	0	0.04
207.77097	2	3	108.jpg	1	0.86014861	1	1	1	1	0.23
213.47091	2	16	122.jpg	2	0.79372697	1	0	0	0	-0.03
222.23832	2	15	106.jpg	1	0.90058658	1	0	2	0	-0.08
233.05544	2	5	103.jpg	1	0.73565013	1	1	2	2	0.47
238.73847	2	10	117.jpg	2	1.1328574	1	0	0	0	-0.04
247.50646	2	3	108.jpg	1	0.88062678	1	1	1	0	-0.02
253.20887	2	4	123.jpg	2	1.6024397	1	1	0	0	-0.01
261.98791	2	7	136.jpg	1	0.76398272	1	1	2	2	0.42
269.72744	2	11	134.jpg	1	0.78641173	1	0	1	1	0.25
276.45517	2	6	119.jpg	2	0.95322523	1	1	0	-1	-0.23
285.23072	2	15	106.jpg	1	0.8334028	1	0	2	2	0.42
295.02012	2	1	138.jpg	1	1.2146283	1	1	1	1	0.21
303.80451	2	13	135.jpg	1	0.71736889	1	0	2	2	0.49
312.58808	2	10	117.jpg	-1	n/a	n/a	0	0	0	-0.5
319.32153	2	4	123.jpg	1	1.9307095	0	1	0	0	-0.26
326.0381	2	11	134.jpg	1	0.77957294	1	0	1	1	0.22
332.75504	2	16	122.jpg	2	1.019452	1	0	0	0	0.05
342.54015	2	8	104.jpg	2	1.1204163	1	1	0	0	0
348.24173	2	7	136.jpg	1	0.74298488	1	1	2	0	0
359.07656	2	6	119.jpg	2	1.9830199	1	1	0	0	0.02
366.82739	2	12	114.jpg	2	0.94951796	1	0	0	-1	-0.24
372.52849	2	5	103.jpg	1	0.68276176	1	1	2	2	0.47
379.25453	2	2	137.jpg	2	0.90140921	1	1	0	0	0.05
