onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.47515	2	3	127.jpg	1	0.47747767	1	1	1	1	0.21
38.281083	2	10	107.jpg	2	0.59654917	1	0	0	0	0.01
43.981097	2	9	124.jpg	1	0.67065938	1	0	1	1	0.22
54.814467	2	6	119.jpg	2	0.83048214	1	1	0	0	0
62.565003	2	1	135.jpg	1	0.62251139	1	1	1	0	-0.03
70.298805	2	15	117.jpg	1	0.7219437	1	0	2	2	0.42
81.117269	2	12	123.jpg	2	0.5441931	1	0	0	0	0.01
86.818532	2	2	137.jpg	2	0.60213177	1	1	0	0	0.04
96.619984	2	11	132.jpg	1	0.51069902	1	0	1	0	-0.03
104.37126	2	8	122.jpg	2	0.64445995	1	1	0	0	-0.05
114.16504	2	7	101.jpg	1	0.5878221	1	1	2	2	0.48
122.94081	2	16	120.jpg	2	0.61835538	1	0	0	0	0
128.64193	2	14	110.jpg	2	0.59343967	1	0	0	-1	-0.23
134.33198	2	4	131.jpg	2	0.86743962	1	1	0	0	0.02
140.03196	2	5	115.jpg	1	0.49288746	1	1	2	2	0.41
146.76548	2	8	122.jpg	2	0.54469351	1	1	0	-1	-0.22
154.51623	2	9	124.jpg	1	0.67743035	1	0	1	1	0.22
160.21552	2	2	137.jpg	2	0.51896584	1	1	0	0	-0.03
166.94873	2	13	106.jpg	1	0.57229438	1	0	2	0	-0.07
175.73339	2	14	110.jpg	2	0.55887834	1	0	0	0	0.04
184.51798	2	13	106.jpg	1	0.48835276	1	0	2	2	0.44
191.2525	2	1	135.jpg	1	0.60096759	1	1	1	1	0.21
202.08747	2	12	123.jpg	2	0.55445672	1	0	0	0	0.01
207.7887	2	3	127.jpg	1	0.5129701	1	1	1	1	0.27
213.48938	2	16	120.jpg	2	0.50905429	1	0	0	0	-0.01
222.27379	2	15	117.jpg	1	0.65115513	1	0	2	0	-0.03
233.0991	2	5	115.jpg	1	0.47876448	1	1	2	2	0.45
238.79911	2	10	107.jpg	2	0.54330731	1	0	0	0	0.02
247.5783	2	3	127.jpg	1	0.53100468	1	1	1	0	-0.08
253.28296	2	4	131.jpg	2	1.3199458	1	1	0	0	-0.03
262.06657	2	7	101.jpg	1	0.62211174	1	1	2	2	0.43
269.81357	2	11	132.jpg	1	0.51601316	1	0	1	1	0.26
276.53317	2	6	119.jpg	2	1.0650434	1	1	0	-1	-0.2
285.30171	2	15	117.jpg	1	0.6168464	1	0	2	2	0.49
295.10316	2	1	135.jpg	1	0.55409772	1	1	1	1	0.24
303.88769	2	13	106.jpg	1	0.49623037	1	0	2	2	0.45
312.67238	2	10	107.jpg	2	0.57722036	1	0	0	0	0.04
319.40679	2	4	131.jpg	2	0.79813546	1	1	0	0	-0.02
326.14091	2	11	132.jpg	1	0.5048506	1	0	1	1	0.26
332.87589	2	16	120.jpg	2	0.52157837	1	0	0	0	-0.02
342.66633	2	8	122.jpg	2	0.62431445	1	1	0	0	0.05
348.36656	2	7	101.jpg	1	0.58404835	1	1	2	0	-0.08
359.20015	2	6	119.jpg	2	0.74358624	1	1	0	0	-0.04
366.94937	2	12	123.jpg	2	0.50237667	1	0	0	-1	-0.27
372.63321	2	5	115.jpg	1	0.5106388	1	1	2	2	0.49
379.35028	2	2	137.jpg	2	0.51032848	1	1	0	0	-0.02
