onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.491348	2	3	112.jpg	1	0.5745702	1	1	1	1	0.25
38.286395	2	10	111.jpg	2	0.63642115	1	0	0	0	0.01
43.970885	2	9	124.jpg	1	0.72590637	1	0	1	1	0.23
54.792492	2	6	102.jpg	2	0.68269649	1	1	0	0	-0.01
62.539772	2	1	123.jpg	2	0.58919083	0	1	1	0	0.24
70.274478	2	15	121.jpg	1	0.70722368	1	0	2	2	0.48
81.103807	2	12	105.jpg	2	0.54749227	1	0	0	0	-0.01
86.797946	2	2	107.jpg	2	0.60632531	1	1	0	0	0.02
96.587361	2	11	126.jpg	1	0.58121289	1	0	1	0	-0.09
104.33174	2	8	113.jpg	2	0.4963829	1	1	0	0	0.01
114.12011	2	7	130.jpg	1	0.72497952	1	1	2	2	0.47
122.90393	2	16	116.jpg	2	0.77891948	1	0	0	0	0
128.58755	2	14	138.jpg	2	0.86938398	1	0	0	-1	-0.26
134.27343	2	4	106.jpg	2	0.6234976	1	1	0	0	-0.02
139.95734	2	5	136.jpg	1	0.62930574	1	1	2	2	0.4
146.67176	2	8	113.jpg	2	0.61177871	1	1	0	-1	-0.24
154.40671	2	9	124.jpg	1	0.65507105	1	0	1	1	0.27
160.09217	2	2	107.jpg	2	0.58347134	1	1	0	0	0.01
166.82374	2	13	117.jpg	1	0.65505102	1	0	2	0	-0.03
175.58754	2	14	138.jpg	2	0.75630224	1	0	0	0	0.02
184.35472	2	13	117.jpg	1	0.51737689	1	0	2	2	0.48
191.08192	2	1	123.jpg	2	0.56893621	0	1	1	1	-0.03
201.90905	2	12	105.jpg	2	0.59853544	1	0	0	0	-0.01
207.60084	2	3	112.jpg	1	0.55052469	1	1	1	1	0.25
213.2881	2	16	116.jpg	2	0.68272088	1	0	0	0	0.04
222.05429	2	15	121.jpg	1	0.67471988	1	0	2	0	-0.02
232.87151	2	5	136.jpg	1	0.59527769	1	1	2	2	0.47
238.55526	2	10	111.jpg	2	0.63118909	1	0	0	0	-0.04
247.32133	2	3	112.jpg	1	0.53325319	1	1	1	0	-0.03
253.00609	2	4	106.jpg	2	0.71301278	1	1	0	0	0.02
261.77472	2	7	130.jpg	1	0.87505509	1	1	2	2	0.43
269.50856	2	11	126.jpg	1	0.66079797	1	0	1	1	0.27
276.23042	2	6	102.jpg	2	0.68264366	1	1	0	-1	-0.21
285.01496	2	15	121.jpg	1	0.56167555	1	0	2	2	0.45
294.80496	2	1	123.jpg	2	0.55637706	0	1	1	1	0
303.57277	2	13	117.jpg	1	0.50616049	1	0	2	2	0.4
312.33947	2	10	111.jpg	2	0.61957699	1	0	0	0	-0.04
319.06859	2	4	106.jpg	2	0.63496922	1	1	0	0	0.04
325.78477	2	11	126.jpg	1	0.61847348	1	0	1	1	0.26
332.50549	2	16	116.jpg	2	0.7478743	1	0	0	0	-0.03
342.28902	2	8	113.jpg	2	0.59338338	1	1	0	0	-0.04
347.97288	2	7	130.jpg	1	0.58364118	1	1	2	0	0
358.78932	2	6	102.jpg	2	0.63865567	1	1	0	0	0.02
366.52577	2	12	105.jpg	2	0.55026095	1	0	0	-1	-0.21
372.20978	2	5	136.jpg	1	0.55675567	1	1	2	2	0.4
378.92774	2	2	107.jpg	2	0.56185682	1	1	0	0	0
