onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0313586	2	9	124.jpg	1	0.71874288	1	0	1	1	0.29
8.7724958	2	14	138.jpg	2	0.69086462	1	0	0	0	0
19.590894	2	1	123.jpg	2	0.64006131	0	1	1	1	-0.03
25.283042	2	16	116.jpg	2	0.79932446	1	0	0	0	-0.04
34.051159	2	3	112.jpg	1	0.52394372	1	1	1	1	0.26
41.793679	2	11	126.jpg	1	0.54384674	1	0	1	1	0.24
47.491271	2	10	111.jpg	2	0.67684978	1	0	0	-1	-0.2
53.190674	2	7	130.jpg	1	0.65021508	1	1	2	2	0.43
61.957544	2	8	113.jpg	2	0.62124993	1	1	0	0	-0.02
69.692228	2	15	121.jpg	1	0.62319325	1	0	2	2	0.4
75.374372	2	4	106.jpg	2	0.61246334	1	1	0	-1	-0.22
86.191635	2	2	107.jpg	2	0.61332704	1	1	0	0	0.02
95.977886	2	13	117.jpg	1	0.5696161	1	0	2	2	0.43
104.74114	2	9	124.jpg	1	0.55178169	1	0	1	0	-0.06
110.43143	2	14	138.jpg	2	0.66350686	1	0	0	0	-0.03
116.12547	2	5	136.jpg	1	0.49582452	1	1	2	2	0.47
121.81617	2	12	105.jpg	2	0.5938057	1	0	0	0	0.04
129.55841	2	16	116.jpg	2	0.57798771	1	0	0	-1	-0.29
137.30222	2	6	102.jpg	2	0.66621266	1	1	0	0	-0.03
146.07512	2	13	117.jpg	1	0.53921504	1	0	2	2	0.43
152.80428	2	14	138.jpg	2	0.65134821	1	0	0	0	-0.01
163.62541	2	9	124.jpg	1	0.70905454	1	0	1	1	0.28
172.39266	2	5	136.jpg	1	0.5120913	1	1	2	0	-0.08
179.09237	2	6	102.jpg	2	0.6506173	1	1	0	0	-0.02
185.81039	2	10	111.jpg	2	0.61546499	1	0	0	0	-0.03
194.57865	2	3	112.jpg	1	0.53959092	1	1	1	1	0.22
202.31313	2	8	113.jpg	2	0.56306473	1	1	0	0	0.05
209.03091	2	12	105.jpg	2	0.57338279	1	0	0	0	-0.03
216.77551	2	7	130.jpg	1	0.63484022	1	1	2	2	0.42
223.49299	2	4	106.jpg	2	0.63082079	1	1	0	0	0.01
231.23456	2	11	126.jpg	1	0.5390317	1	0	1	1	0.22
241.02595	2	2	107.jpg	2	0.55992841	1	1	0	-1	-0.26
249.79294	2	15	121.jpg	1	0.56521619	1	0	2	2	0.42
259.59353	2	1	123.jpg	2	0.54462024	0	1	1	1	-0.05
265.27662	2	12	105.jpg	2	0.59372779	1	0	0	0	0.03
270.9608	2	8	113.jpg	2	0.58495481	1	1	0	0	-0.04
277.67621	2	2	107.jpg	2	0.52690998	1	1	0	0	-0.05
286.44491	2	11	126.jpg	1	0.60075352	1	0	1	1	0.24
296.22891	2	10	111.jpg	2	0.65346145	1	0	0	0	0
304.99773	2	7	130.jpg	1	0.62529187	1	1	2	2	0.47
311.7318	2	1	123.jpg	2	0.63493289	0	1	1	1	-0.04
317.43337	2	15	121.jpg	1	0.6208138	1	0	2	2	0.49
327.22674	2	3	112.jpg	1	0.48687874	1	1	1	1	0.22
334.96868	2	4	106.jpg	2	0.72500076	1	1	0	0	-0.03
341.69356	2	16	116.jpg	2	0.78127222	1	0	0	0	-0.05
349.43795	2	5	136.jpg	1	0.56526056	1	1	2	2	0.48
356.16063	2	6	102.jpg	2	0.68738715	1	1	0	0	0.05
362.89549	2	14	138.jpg	2	0.67137274	1	0	0	0	-0.02
373.7279	2	13	117.jpg	1	0.74341812	1	0	2	2	0.5
380.4441	2	9	124.jpg	1	0.57531353	1	0	1	1	0.23
