onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0300495	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
5.2650882	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
8.2410158	1.5	8	135.jpg	n/a	n/a	n/a	1	0	n/a
10.535415	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
12.515365	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
15.54194	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
17.995249	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
20.555381	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
22.562104	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
25.233026	1.5	5	101.jpg	-1	n/a	n/a	1	1	n/a
35.445337	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
38.646401	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
41.236935	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
43.930697	1.5	16	104.jpg	2	0.87772404	1	0	0	46.430697
50.794859	1.5	8	135.jpg	n/a	n/a	n/a	1	0	n/a
53.927988	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
56.842746	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
58.720141	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
60.766993	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
63.287177	1.5	4	138.jpg	n/a	n/a	n/a	1	0	n/a
65.084414	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
68.144458	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
70.061743	1.5	13	137.jpg	n/a	n/a	n/a	0	1	n/a
72.718065	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
75.95932	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
77.892441	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
79.675598	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
81.809106	1.5	13	137.jpg	n/a	n/a	n/a	0	1	n/a
84.863371	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
86.751129	1.5	6	133.jpg	2	0.66008853	1	1	0	89.251129
93.051851	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
95.435848	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
97.769918	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
100.12338	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
102.11938	1.5	8	135.jpg	n/a	n/a	n/a	1	0	n/a
104.5995	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
107.21386	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
109.45259	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
111.42276	1.5	13	137.jpg	n/a	n/a	n/a	0	1	n/a
113.28933	1.5	4	138.jpg	n/a	n/a	n/a	1	0	n/a
115.51694	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
118.08287	1.5	11	110.jpg	2	0.78329287	0	0	1	120.58287
124.43277	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
127.55962	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
129.37259	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
131.36953	1.5	8	135.jpg	2	0.8673126	1	1	0	133.86953
138.02961	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
140.91025	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
144.12376	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
147.32129	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
149.98507	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
152.87212	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
155.59209	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
158.71984	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
161.10676	1.5	3	132.jpg	1	0.79497916	1	1	1	163.60676
167.4377	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
169.71513	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
172.19866	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
174.75357	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
177.83341	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
179.63695	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
181.65704	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
184.83307	1.5	12	131.jpg	n/a	n/a	n/a	0	0	n/a
187.29806	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
189.72495	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
191.80977	1.5	8	135.jpg	n/a	n/a	n/a	1	0	n/a
194.07336	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
196.39993	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
199.26662	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
202.38364	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
204.1608	1.5	6	133.jpg	n/a	n/a	n/a	1	0	n/a
206.37335	1.5	14	113.jpg	2	0.77653926	1	0	0	208.87335
213.5334	1.5	4	138.jpg	n/a	n/a	n/a	1	0	n/a
215.65997	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
217.47359	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
220.03989	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
221.86667	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
224.42352	1.5	4	138.jpg	2	0.5865156	1	1	0	226.92352
231.58342	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
234.46077	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
236.46354	1.5	8	135.jpg	n/a	n/a	n/a	1	0	n/a
238.68346	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
241.74115	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
243.84787	1.5	9	136.jpg	1	0.68477264	1	0	1	246.34787
250.08246	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
252.8824	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
255.39287	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
257.92965	1.5	13	137.jpg	n/a	n/a	n/a	0	1	n/a
261.1035	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
263.15077	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
266.10172	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
269.09141	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
271.99195	1.5	9	136.jpg	n/a	n/a	n/a	0	1	n/a
273.8571	1.5	10	128.jpg	n/a	n/a	n/a	0	0	n/a
276.88364	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
278.89694	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
281.46343	1.5	4	138.jpg	n/a	n/a	n/a	1	0	n/a
283.74074	1.5	15	120.jpg	n/a	n/a	n/a	0	1	n/a
286.39718	1.5	13	137.jpg	n/a	n/a	n/a	0	1	n/a
288.8052	1.5	1	102.jpg	1	0.71929025	1	1	1	291.3052
296.01326	1.5	16	104.jpg	n/a	n/a	n/a	0	0	n/a
298.15387	1.5	14	113.jpg	n/a	n/a	n/a	0	0	n/a
300.58686	1.5	3	132.jpg	n/a	n/a	n/a	1	1	n/a
302.56068	1.5	5	101.jpg	n/a	n/a	n/a	1	1	n/a
305.04379	1.5	4	138.jpg	n/a	n/a	n/a	1	0	n/a
307.19736	1.5	2	111.jpg	n/a	n/a	n/a	1	0	n/a
309.92716	1.5	7	134.jpg	n/a	n/a	n/a	1	1	n/a
312.47075	1.5	1	102.jpg	n/a	n/a	n/a	1	1	n/a
