onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0261691	2	9	124.jpg	1	0.7633461	1	0	1	1	0.2
8.7548607	2	14	110.jpg	2	0.62831016	1	0	0	0	0.01
19.573245	2	1	135.jpg	1	0.63163713	1	1	1	1	0.28
25.274218	2	16	120.jpg	2	0.48962823	1	0	0	0	0.04
34.059182	2	3	127.jpg	1	0.51862065	1	1	1	1	0.22
41.805581	2	11	132.jpg	1	0.47724928	1	0	1	1	0.21
47.494329	2	10	107.jpg	2	0.5042553	1	0	0	-1	-0.23
53.188181	2	7	101.jpg	1	0.55702412	1	1	2	2	0.49
61.964526	2	8	122.jpg	2	0.62279332	1	1	0	0	0.01
69.704837	2	15	117.jpg	1	0.5992603	1	0	2	2	0.4
75.404845	2	4	131.jpg	2	1.0865562	1	1	0	-1	-0.2
86.238294	2	2	137.jpg	2	0.52691201	1	1	0	0	-0.04
96.038543	2	13	106.jpg	1	0.56168173	1	0	2	2	0.46
104.82153	2	9	124.jpg	1	0.67589399	1	0	1	0	0
110.50402	2	14	110.jpg	2	0.54988767	1	0	0	0	0.01
116.18943	2	5	115.jpg	1	0.48494602	1	1	2	2	0.43
121.88948	2	12	123.jpg	2	0.49858549	1	0	0	0	0
129.64168	2	16	120.jpg	2	0.51860874	1	0	0	-1	-0.28
137.39213	2	6	119.jpg	2	0.70738589	1	1	0	0	0.02
146.17839	2	13	106.jpg	1	0.49618834	1	0	2	2	0.47
152.91225	2	14	110.jpg	2	0.54027451	1	0	0	0	0.01
163.73886	2	9	124.jpg	1	0.57345511	1	0	1	1	0.29
172.51577	2	5	115.jpg	1	0.49875335	1	1	2	0	-0.08
179.23914	2	6	119.jpg	2	0.70372454	1	1	0	0	0.05
185.96779	2	10	107.jpg	2	0.54375833	1	0	0	0	-0.01
194.73905	2	3	127.jpg	1	0.47862297	1	1	1	1	0.21
202.48965	2	8	122.jpg	2	0.55066025	1	1	0	0	-0.02
209.22271	2	12	123.jpg	2	0.57330332	1	0	0	0	-0.04
216.97046	2	7	101.jpg	1	0.56097211	1	1	2	2	0.49
223.69076	2	4	131.jpg	2	0.61675878	1	1	0	0	0.03
231.44232	2	11	132.jpg	1	0.54930493	1	0	1	1	0.24
241.24364	2	2	137.jpg	2	0.53175478	1	1	0	-1	-0.2
250.02827	2	15	117.jpg	1	0.68008972	1	0	2	2	0.47
259.82221	2	1	135.jpg	1	0.57544706	1	1	1	1	0.24
265.51437	2	12	123.jpg	2	0.495094	1	0	0	0	-0.04
271.20625	2	8	122.jpg	2	0.59605296	1	1	0	0	0.01
277.93925	2	2	137.jpg	2	0.49092669	1	1	0	0	0.04
286.72272	2	11	132.jpg	1	0.52878572	1	0	1	1	0.22
296.52042	2	10	107.jpg	2	0.55071165	1	0	0	0	0.02
305.30635	2	7	101.jpg	1	0.5222689	1	1	2	2	0.42
312.03767	2	1	135.jpg	1	0.51223838	1	1	1	1	0.22
317.72302	2	15	117.jpg	1	0.67787927	1	0	2	2	0.45
327.52459	2	3	127.jpg	1	0.5595621	1	1	1	1	0.28
335.27585	2	4	131.jpg	2	0.62666944	1	1	0	0	0
342.01044	2	16	120.jpg	2	0.5548562	1	0	0	0	-0.05
349.76196	2	5	115.jpg	1	0.50471824	1	1	2	2	0.44
356.4957	2	6	119.jpg	2	0.71286216	1	1	0	0	0
363.23075	2	14	110.jpg	2	0.6086515	1	0	0	0	0.01
374.05699	2	13	106.jpg	1	0.52118015	1	0	2	2	0.43
380.78366	2	9	124.jpg	1	0.60853512	1	0	1	1	0.28
