onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0311771	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
5.2600764	1.5	5	115.jpg	n/a	n/a	n/a	1	1	n/a
8.2482956	1.5	8	122.jpg	n/a	n/a	n/a	1	0	n/a
10.546724	1.5	6	119.jpg	n/a	n/a	n/a	1	0	n/a
12.524154	1.5	3	127.jpg	n/a	n/a	n/a	1	1	n/a
15.553192	1.5	1	135.jpg	n/a	n/a	n/a	1	1	n/a
18.007365	1.5	9	124.jpg	n/a	n/a	n/a	0	1	n/a
20.566815	1.5	15	117.jpg	n/a	n/a	n/a	0	1	n/a
22.573629	1.5	16	120.jpg	n/a	n/a	n/a	0	0	n/a
25.243159	1.5	5	115.jpg	-1	n/a	n/a	1	1	n/a
35.473375	1.5	12	123.jpg	n/a	n/a	n/a	0	0	n/a
38.673376	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
41.263303	1.5	1	135.jpg	n/a	n/a	n/a	1	1	n/a
43.957458	1.5	16	120.jpg	2	0.32621287	1	0	0	46.457458
50.255723	1.5	8	122.jpg	n/a	n/a	n/a	1	0	n/a
53.388063	1.5	6	119.jpg	n/a	n/a	n/a	1	0	n/a
56.30172	1.5	15	117.jpg	n/a	n/a	n/a	0	1	n/a
58.179758	1.5	9	124.jpg	n/a	n/a	n/a	0	1	n/a
60.226892	1.5	2	137.jpg	n/a	n/a	n/a	1	0	n/a
62.747089	1.5	4	131.jpg	n/a	n/a	n/a	1	0	n/a
64.544505	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
67.603986	1.5	12	123.jpg	n/a	n/a	n/a	0	0	n/a
69.521664	1.5	13	106.jpg	n/a	n/a	n/a	0	1	n/a
72.17856	1.5	9	124.jpg	n/a	n/a	n/a	0	1	n/a
75.429904	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
77.359594	1.5	16	120.jpg	n/a	n/a	n/a	0	0	n/a
79.143331	1.5	11	132.jpg	n/a	n/a	n/a	0	1	n/a
81.276574	1.5	13	106.jpg	n/a	n/a	n/a	0	1	n/a
84.331203	1.5	12	123.jpg	n/a	n/a	n/a	0	0	n/a
86.220711	1.5	6	119.jpg	2	0.35535467	1	1	0	88.720711
92.212031	1.5	14	110.jpg	n/a	n/a	n/a	0	0	n/a
94.59593	1.5	5	115.jpg	n/a	n/a	n/a	1	1	n/a
96.929797	1.5	3	127.jpg	n/a	n/a	n/a	1	1	n/a
99.290874	1.5	2	137.jpg	n/a	n/a	n/a	1	0	n/a
101.28065	1.5	8	122.jpg	n/a	n/a	n/a	1	0	n/a
103.75442	1.5	1	135.jpg	n/a	n/a	n/a	1	1	n/a
106.37726	1.5	3	127.jpg	n/a	n/a	n/a	1	1	n/a
108.62508	1.5	11	132.jpg	n/a	n/a	n/a	0	1	n/a
110.58402	1.5	13	106.jpg	n/a	n/a	n/a	0	1	n/a
112.4509	1.5	4	131.jpg	n/a	n/a	n/a	1	0	n/a
114.67737	1.5	6	119.jpg	n/a	n/a	n/a	1	0	n/a
117.24399	1.5	11	132.jpg	1	0.31327781	1	0	1	119.74399
123.12729	1.5	1	135.jpg	n/a	n/a	n/a	1	1	n/a
126.25409	1.5	3	127.jpg	n/a	n/a	n/a	1	1	n/a
128.0667	1.5	6	119.jpg	n/a	n/a	n/a	1	0	n/a
130.06349	1.5	8	122.jpg	2	0.25523869	1	1	0	132.56349
136.10758	1.5	2	137.jpg	n/a	n/a	n/a	1	0	n/a
138.98518	1.5	12	123.jpg	n/a	n/a	n/a	0	0	n/a
142.19888	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
145.39778	1.5	9	124.jpg	n/a	n/a	n/a	0	1	n/a
148.06157	1.5	11	132.jpg	n/a	n/a	n/a	0	1	n/a
150.94858	1.5	16	120.jpg	n/a	n/a	n/a	0	0	n/a
153.65254	1.5	10	107.jpg	n/a	n/a	n/a	0	0	n/a
