onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.473855	2	3	133.jpg	1	0.68929343	1	1	1	1	0.22
38.263958	2	10	114.jpg	1	0.55686984	0	0	0	0	-0.29
43.964936	2	9	122.jpg	1	1.406715	1	0	1	1	0.21
54.797619	2	6	126.jpg	2	0.83337898	1	1	0	0	0.01
62.547919	2	1	124.jpg	1	0.66000331	1	1	1	0	-0.07
70.281197	2	15	135.jpg	1	0.60620102	1	0	2	2	0.43
81.099601	2	12	117.jpg	2	1.0754	1	0	0	0	-0.02
86.784202	2	2	127.jpg	1	0.90319188	0	1	0	0	-0.25
96.584604	2	11	118.jpg	2	1.0943808	0	0	1	0	0.22
104.33688	2	8	125.jpg	2	0.81735417	1	1	0	0	-0.04
114.13874	2	7	129.jpg	1	0.89017206	1	1	2	2	0.43
122.92264	2	16	137.jpg	2	0.77234105	1	0	0	0	-0.01
128.62448	2	14	121.jpg	2	0.69307	1	0	0	-1	-0.28
134.31504	2	4	111.jpg	2	0.87506999	1	1	0	0	0.04
140.01499	2	5	119.jpg	2	0.97791087	0	1	2	2	0.05
146.74837	2	8	125.jpg	2	0.64056742	1	1	0	-1	-0.25
154.49837	2	9	122.jpg	1	0.98831	1	0	1	1	0.28
160.1994	2	2	127.jpg	2	0.81503874	1	1	0	0	-0.04
166.93172	2	13	116.jpg	1	1.2305792	1	0	2	0	-0.07
175.71602	2	14	121.jpg	2	0.69831097	1	0	0	0	-0.02
184.50031	2	13	116.jpg	2	1.5160855	0	0	2	2	0.03
191.235	2	1	124.jpg	1	0.66998905	1	1	1	1	0.2
202.07028	2	12	117.jpg	2	0.85158142	1	0	0	0	0.01
207.77123	2	3	133.jpg	1	0.79890878	1	1	1	1	0.27
213.47046	2	16	137.jpg	2	0.77597448	1	0	0	0	0
222.24884	2	15	135.jpg	1	0.55430359	1	0	2	0	-0.03
233.07554	2	5	119.jpg	2	0.63694312	0	1	2	2	-0
238.76558	2	10	114.jpg	1	1.4395291	0	0	0	0	-0.25
247.54755	2	3	133.jpg	1	0.6820901	1	1	1	0	-0.07
253.24904	2	4	111.jpg	2	0.62063253	1	1	0	0	0.04
262.03223	2	7	129.jpg	1	0.821445	1	1	2	2	0.46
269.78232	2	11	118.jpg	2	1.05623	0	0	1	1	-0.03
276.49694	2	6	126.jpg	2	0.78110215	1	1	0	-1	-0.21
285.28395	2	15	135.jpg	1	0.70447691	1	0	2	2	0.44
295.0687	2	1	124.jpg	1	0.86025962	1	1	1	1	0.22
303.85343	2	13	116.jpg	1	1.3259451	1	0	2	2	0.46
312.63817	2	10	114.jpg	2	0.79072045	1	0	0	0	0.01
319.37216	2	4	111.jpg	2	1.1917598	1	1	0	0	0.01
326.0992	2	11	118.jpg	2	0.90796906	0	0	1	1	-0.01
332.83262	2	16	137.jpg	2	0.72661803	1	0	0	0	0
342.62666	2	8	125.jpg	2	0.74058976	1	1	0	0	-0.01
348.31604	2	7	129.jpg	1	0.6776996	1	1	2	0	-0.09
359.14939	2	6	126.jpg	2	0.71158253	1	1	0	0	0
366.8994	2	12	117.jpg	2	0.63929946	1	0	0	-1	-0.26
372.60024	2	5	119.jpg	2	0.6321591	0	1	2	2	-0.03
379.3331	2	2	127.jpg	2	0.77873901	1	1	0	0	-0.05
