onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.492095	2	3	131.jpg	1	0.78842198	1	1	1	1	0.27
38.295097	2	10	104.jpg	2	0.8386489	1	0	0	0	-0.04
43.987986	2	9	123.jpg	1	0.66200727	1	0	1	1	0.22
54.814713	2	6	109.jpg	2	0.80503577	1	1	0	0	-0.01
62.554271	2	1	110.jpg	1	0.62322724	1	1	1	0	-0.04
70.305142	2	15	105.jpg	1	0.77452612	1	0	2	2	0.46
81.137402	2	12	118.jpg	2	0.87459588	1	0	0	0	-0.02
86.838593	2	2	137.jpg	2	0.80109215	1	1	0	0	0.01
96.636108	2	11	127.jpg	1	0.80544667	1	0	1	0	-0.01
104.37323	2	8	135.jpg	2	0.99953451	1	1	0	0	0.02
114.17439	2	7	130.jpg	1	1.282706	1	1	2	2	0.49
122.95944	2	16	119.jpg	2	0.797116	1	0	0	0	0
128.6605	2	14	124.jpg	2	0.88182348	1	0	0	-1	-0.27
134.36125	2	4	138.jpg	2	1.0762223	1	1	0	0	0.04
140.05573	2	5	114.jpg	1	0.8379742	1	1	2	2	0.45
146.77991	2	8	135.jpg	2	0.63182525	1	1	0	-1	-0.24
154.5223	2	9	123.jpg	1	0.70679931	1	0	1	1	0.25
160.21558	2	2	137.jpg	2	0.81646247	1	1	0	0	0.02
166.93828	2	13	117.jpg	2	0.84814845	0	0	2	0	0.44
175.72248	2	14	124.jpg	2	0.68514598	1	0	0	0	-0.04
184.50444	2	13	117.jpg	2	0.79537123	0	0	2	2	-0.01
191.23918	2	1	110.jpg	1	0.70231604	1	1	1	1	0.23
202.0726	2	12	118.jpg	2	0.79673555	1	0	0	0	-0.05
207.75698	2	3	131.jpg	1	0.89910322	1	1	1	1	0.23
213.44096	2	16	119.jpg	2	0.73765542	1	0	0	0	0.02
222.20498	2	15	105.jpg	1	0.98019629	1	0	2	0	-0.04
233.02747	2	5	114.jpg	1	0.81798434	1	1	2	2	0.48
238.72856	2	10	104.jpg	2	0.88879387	1	0	0	0	-0.03
247.50575	2	3	131.jpg	1	0.82544922	1	1	1	0	-0.03
253.19727	2	4	138.jpg	2	0.94413119	1	1	0	0	0.04
261.97279	2	7	130.jpg	1	1.0938632	1	1	2	2	0.41
269.7173	2	11	127.jpg	1	1.2045974	1	0	1	1	0.28
276.4396	2	6	109.jpg	2	0.85878253	1	1	0	-1	-0.24
285.22285	2	15	105.jpg	1	0.7952571	1	0	2	2	0.46
295.02298	2	1	110.jpg	1	0.67139191	1	1	1	1	0.25
303.80625	2	13	117.jpg	2	1.3881778	0	0	2	2	0
312.57737	2	10	104.jpg	2	0.6843874	1	0	0	0	-0.04
319.30888	2	4	138.jpg	2	0.72908438	1	1	0	0	0.01
326.04282	2	11	127.jpg	1	0.80032241	1	0	1	1	0.22
332.77781	2	16	119.jpg	2	0.61553423	1	0	0	0	-0.02
342.58035	2	8	135.jpg	2	1.0249101	1	1	0	0	-0.02
348.27377	2	7	130.jpg	1	0.99210675	1	1	2	0	-0.06
359.08967	2	6	109.jpg	2	0.85620797	1	1	0	0	0.05
366.8332	2	12	118.jpg	2	0.73258513	1	0	0	-1	-0.29
372.52356	2	5	114.jpg	1	0.85825176	1	1	2	2	0.44
379.25679	2	2	137.jpg	2	0.72937225	1	1	0	0	-0.04
