onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0380806	2	9	123.jpg	1	0.86422468	1	0	1	1	0.23
8.7700308	2	14	124.jpg	2	0.7189855	1	0	0	0	-0.03
19.599359	2	1	110.jpg	1	0.77656933	1	1	1	1	0.22
25.299551	2	16	119.jpg	2	0.69558752	1	0	0	0	-0.04
34.082878	2	3	131.jpg	1	0.91686862	1	1	1	1	0.22
41.832578	2	11	127.jpg	1	0.85216904	1	0	1	1	0.28
47.516584	2	10	104.jpg	2	0.66556583	1	0	0	-1	-0.24
53.200953	2	7	130.jpg	1	1.0426536	1	1	2	2	0.48
61.985869	2	8	135.jpg	2	0.65365911	1	1	0	0	0.03
69.736989	2	15	105.jpg	1	0.72397241	1	0	2	2	0.48
75.438066	2	4	138.jpg	2	1.0492915	1	1	0	-1	-0.29
86.272994	2	2	137.jpg	2	0.74870153	1	1	0	0	-0.02
96.066678	2	13	117.jpg	2	0.76876856	0	0	2	2	-0.02
104.84237	2	9	123.jpg	1	0.75688542	1	0	1	0	-0.01
110.53324	2	14	124.jpg	2	0.91096173	1	0	0	0	0.01
116.23331	2	5	114.jpg	1	0.69875812	1	1	2	2	0.48
121.93342	2	12	118.jpg	2	0.68177395	1	0	0	0	-0.04
129.68319	2	16	119.jpg	2	0.83415256	1	0	0	-1	-0.21
137.43316	2	6	109.jpg	2	0.83608311	1	1	0	0	-0.03
146.21747	2	13	117.jpg	2	0.89699083	0	0	2	2	-0
152.95065	2	14	124.jpg	2	0.93477969	1	0	0	0	0.01
163.76979	2	9	123.jpg	1	0.8821869	1	0	1	1	0.23
172.55402	2	5	114.jpg	1	0.76948988	1	1	2	0	0
179.28852	2	6	109.jpg	2	1.1863059	1	1	0	0	0.02
186.01699	2	10	104.jpg	2	0.71200935	1	0	0	0	-0.05
194.79109	2	3	131.jpg	1	0.76086632	1	1	1	1	0.24
202.53378	2	8	135.jpg	2	0.81110065	1	1	0	0	0.03
209.26001	2	12	118.jpg	2	0.91904024	1	0	0	0	0.03
217.00031	2	7	130.jpg	1	1.0385888	1	1	2	2	0.49
223.73402	2	4	138.jpg	2	0.81268131	1	1	0	0	0
231.48392	2	11	127.jpg	1	0.7593138	1	0	1	1	0.26
241.28395	2	2	137.jpg	2	0.80483815	1	1	0	-1	-0.25
250.06725	2	15	105.jpg	1	0.89632574	1	0	2	2	0.42
259.85167	2	1	110.jpg	1	0.99928154	1	1	1	1	0.2
265.55275	2	12	118.jpg	2	0.81145497	1	0	0	0	0.02
271.25361	2	8	135.jpg	2	0.87865666	1	1	0	0	0
277.98808	2	2	137.jpg	2	0.88830971	1	1	0	0	0.01
286.77284	2	11	127.jpg	1	0.73127861	1	0	1	1	0.25
296.57468	2	10	104.jpg	2	0.80630485	1	0	0	0	0.02
305.34837	2	7	130.jpg	1	0.83517918	1	1	2	2	0.49
312.07657	2	1	110.jpg	1	0.61946968	1	1	1	1	0.2
317.76761	2	15	105.jpg	1	0.68474464	1	0	2	2	0.46
327.56778	2	3	131.jpg	1	0.72205773	1	1	1	1	0.26
335.31778	2	4	138.jpg	2	0.80681078	1	1	0	0	0.03
342.05114	2	16	119.jpg	2	0.67199899	1	0	0	0	-0.01
349.80091	2	5	114.jpg	1	0.94922374	1	1	2	2	0.48
356.51782	2	6	109.jpg	2	0.71604376	1	1	0	0	-0.01
363.23594	2	14	124.jpg	2	0.95154675	1	0	0	0	0
374.05477	2	13	117.jpg	2	0.8241966	0	0	2	2	-0.01
380.78865	2	9	123.jpg	1	0.93873484	1	0	1	1	0.21
