onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0264373	1.5	7	136.jpg	n/a	n/a	n/a	1	1	n/a
5.2576368	1.5	5	128.jpg	n/a	n/a	n/a	1	1	n/a
8.2361274	1.5	8	106.jpg	n/a	n/a	n/a	1	0	n/a
10.528984	1.5	6	112.jpg	n/a	n/a	n/a	1	0	n/a
12.502869	1.5	3	122.jpg	n/a	n/a	n/a	1	1	n/a
15.536015	1.5	1	105.jpg	n/a	n/a	n/a	1	1	n/a
17.988928	1.5	9	114.jpg	n/a	n/a	n/a	0	1	n/a
20.550295	1.5	15	102.jpg	n/a	n/a	n/a	0	1	n/a
22.557401	1.5	16	124.jpg	n/a	n/a	n/a	0	0	n/a
25.22769	1.5	5	128.jpg	-1	n/a	n/a	1	1	n/a
35.466395	1.5	12	111.jpg	n/a	n/a	n/a	0	0	n/a
38.66658	1.5	7	136.jpg	n/a	n/a	n/a	1	1	n/a
41.256323	1.5	1	105.jpg	n/a	n/a	n/a	1	1	n/a
43.960656	1.5	16	124.jpg	2	1.2610006	1	0	0	46.460656
51.213485	1.5	8	106.jpg	n/a	n/a	n/a	1	0	n/a
54.346598	1.5	6	112.jpg	n/a	n/a	n/a	1	0	n/a
57.259914	1.5	15	102.jpg	n/a	n/a	n/a	0	1	n/a
59.136571	1.5	9	114.jpg	n/a	n/a	n/a	0	1	n/a
61.18318	1.5	2	103.jpg	n/a	n/a	n/a	1	0	n/a
63.701084	1.5	4	133.jpg	n/a	n/a	n/a	1	0	n/a
65.499979	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
68.56	1.5	12	111.jpg	n/a	n/a	n/a	0	0	n/a
70.476807	1.5	13	115.jpg	n/a	n/a	n/a	0	1	n/a
73.133428	1.5	9	114.jpg	n/a	n/a	n/a	0	1	n/a
76.373327	1.5	10	121.jpg	n/a	n/a	n/a	0	0	n/a
78.297308	1.5	16	124.jpg	n/a	n/a	n/a	0	0	n/a
80.080355	1.5	11	126.jpg	n/a	n/a	n/a	0	1	n/a
82.214063	1.5	13	115.jpg	n/a	n/a	n/a	0	1	n/a
85.267707	1.5	12	111.jpg	n/a	n/a	n/a	0	0	n/a
