onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.058496	1.5	7	122.jpg	n/a	n/a	n/a	1	1	n/a
5.296575	1.5	5	125.jpg	n/a	n/a	n/a	1	1	n/a
8.2820552	1.5	8	129.jpg	n/a	n/a	n/a	1	0	n/a
10.574659	1.5	6	116.jpg	n/a	n/a	n/a	1	0	n/a
12.546532	1.5	3	133.jpg	n/a	n/a	n/a	1	1	n/a
15.582261	1.5	1	121.jpg	n/a	n/a	n/a	1	1	n/a
18.035935	1.5	9	118.jpg	n/a	n/a	n/a	0	1	n/a
20.596694	1.5	15	105.jpg	n/a	n/a	n/a	0	1	n/a
22.60371	1.5	16	123.jpg	n/a	n/a	n/a	0	0	n/a
25.27973	1.5	5	125.jpg	-1	n/a	n/a	1	1	n/a
35.510243	1.5	12	126.jpg	n/a	n/a	n/a	0	0	n/a
38.710331	1.5	7	122.jpg	n/a	n/a	n/a	1	1	n/a
41.30039	1.5	1	121.jpg	n/a	n/a	n/a	1	1	n/a
44.01011	1.5	16	123.jpg	1	0.56454645	0	0	0	46.51011
50.556643	1.5	8	129.jpg	n/a	n/a	n/a	1	0	n/a
53.690319	1.5	6	116.jpg	n/a	n/a	n/a	1	0	n/a
56.60366	1.5	15	105.jpg	n/a	n/a	n/a	0	1	n/a
58.479565	1.5	9	118.jpg	n/a	n/a	n/a	0	1	n/a
60.527186	1.5	2	103.jpg	n/a	n/a	n/a	1	0	n/a
63.047364	1.5	4	101.jpg	n/a	n/a	n/a	1	0	n/a
64.844079	1.5	10	137.jpg	n/a	n/a	n/a	0	0	n/a
67.90519	1.5	12	126.jpg	n/a	n/a	n/a	0	0	n/a
69.821547	1.5	13	124.jpg	n/a	n/a	n/a	0	1	n/a
72.478626	1.5	9	118.jpg	n/a	n/a	n/a	0	1	n/a
75.719071	1.5	10	137.jpg	n/a	n/a	n/a	0	0	n/a
77.658595	1.5	16	123.jpg	n/a	n/a	n/a	0	0	n/a
79.443447	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
81.577457	1.5	13	124.jpg	n/a	n/a	n/a	0	1	n/a
84.630687	1.5	12	126.jpg	n/a	n/a	n/a	0	0	n/a
86.51094	1.5	6	116.jpg	2	1.2882905	1	1	0	89.01094
93.428914	1.5	14	132.jpg	n/a	n/a	n/a	0	0	n/a
95.812849	1.5	5	125.jpg	n/a	n/a	n/a	1	1	n/a
98.146495	1.5	3	133.jpg	n/a	n/a	n/a	1	1	n/a
100.50036	1.5	2	103.jpg	n/a	n/a	n/a	1	0	n/a
102.49079	1.5	8	129.jpg	n/a	n/a	n/a	1	0	n/a
104.96437	1.5	1	121.jpg	n/a	n/a	n/a	1	1	n/a
107.58784	1.5	3	133.jpg	n/a	n/a	n/a	1	1	n/a
109.83322	1.5	11	110.jpg	n/a	n/a	n/a	0	1	n/a
111.79554	1.5	13	124.jpg	n/a	n/a	n/a	0	1	n/a
113.66261	1.5	4	101.jpg	n/a	n/a	n/a	1	0	n/a
115.88957	1.5	6	116.jpg	n/a	n/a	n/a	1	0	n/a
118.46431	1.5	11	110.jpg	1	0.90497717	1	0	1	120.96431
124.94766	1.5	1	121.jpg	n/a	n/a	n/a	1	1	n/a
128.08581	1.5	3	133.jpg	n/a	n/a	n/a	1	1	n/a
129.89794	1.5	6	116.jpg	n/a	n/a	n/a	1	0	n/a
131.8956	1.5	8	129.jpg	2	0.84269493	1	1	0	134.3956
138.5444	1.5	2	103.jpg	n/a	n/a	n/a	1	0	n/a
141.42377	1.5	12	126.jpg	n/a	n/a	n/a	0	0	n/a
