onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0301008	2	9	128.jpg	1	0.77966264	1	0	1	1	0.24
8.7585469	2	14	119.jpg	2	0.8889805	1	0	0	0	0.02
19.594303	2	1	124.jpg	1	0.61193841	1	1	1	1	0.29
25.294792	2	16	121.jpg	2	0.830168	1	0	0	0	-0.03
34.07947	2	3	137.jpg	1	0.70066841	1	1	1	1	0.25
41.831098	2	11	132.jpg	1	1.0154642	1	0	1	1	0.21
47.531699	2	10	113.jpg	2	0.74834442	1	0	0	-1	-0.25
53.224667	2	7	127.jpg	1	0.70124536	1	1	2	2	0.41
62.000847	2	8	110.jpg	2	1.046143	1	1	0	0	0.01
69.741416	2	15	114.jpg	1	0.70677153	1	0	2	2	0.47
75.441413	2	4	103.jpg	2	0.69307463	1	1	0	-1	-0.28
86.275074	2	2	101.jpg	2	0.70001037	1	1	0	0	-0.04
96.074698	2	13	126.jpg	1	0.70759941	1	0	2	2	0.44
104.85785	2	9	128.jpg	1	0.70684961	1	0	1	0	-0.1
110.54217	2	14	119.jpg	2	0.83339719	1	0	0	0	0
116.2264	2	5	112.jpg	-1	n/a	n/a	1	2	2	-0.5
121.92741	2	12	133.jpg	2	0.80188907	1	0	0	0	-0.02
129.67867	2	16	121.jpg	2	0.59910367	1	0	0	-1	-0.2
137.42974	2	6	106.jpg	2	0.7574237	1	1	0	0	0.04
146.2134	2	13	126.jpg	1	0.66480007	1	0	2	2	0.48
152.94165	2	14	119.jpg	2	0.7422428	1	0	0	0	0
163.7677	2	9	128.jpg	1	0.55653613	1	0	1	1	0.26
172.54173	2	5	112.jpg	1	0.96615023	1	1	2	0	-0.05
179.27545	2	6	106.jpg	2	0.73594043	1	1	0	0	0
186.00849	2	10	113.jpg	2	0.74470169	1	0	0	0	0.01
194.79117	2	3	137.jpg	1	0.61914407	1	1	1	1	0.22
202.54191	2	8	110.jpg	2	0.8876751	1	1	0	0	0.03
209.27989	2	12	133.jpg	2	0.97173651	1	0	0	0	-0.02
217.02656	2	7	127.jpg	1	0.88801249	1	1	2	2	0.43
223.76063	2	4	103.jpg	2	0.64118068	1	1	0	0	0.02
231.51154	2	11	132.jpg	1	1.2259998	1	0	1	1	0.27
241.31355	2	2	101.jpg	2	0.60150244	1	1	0	-1	-0.26
250.09839	2	15	114.jpg	1	0.68669337	1	0	2	2	0.5
259.89284	2	1	124.jpg	1	0.84312797	1	1	1	1	0.26
265.58352	2	12	133.jpg	2	1.9076479	1	0	0	0	0.01
271.27548	2	8	110.jpg	2	1.1760654	1	1	0	0	0.04
278.00904	2	2	101.jpg	2	0.69971747	1	1	0	0	0.04
286.79228	2	11	132.jpg	1	0.57672072	1	0	1	1	0.27
296.59259	2	10	113.jpg	2	0.67101613	1	0	0	0	-0.04
305.37589	2	7	127.jpg	1	0.53583094	1	1	2	2	0.47
312.10916	2	1	124.jpg	1	0.5924815	1	1	1	1	0.26
317.7931	2	15	114.jpg	1	0.69009176	1	0	2	2	0.41
327.57786	2	3	137.jpg	1	0.5853267	1	1	1	1	0.22
335.32909	2	4	103.jpg	2	0.96060053	1	1	0	0	-0.04
342.06259	2	16	121.jpg	2	1.0196281	1	0	0	0	-0.01
349.81484	2	5	112.jpg	1	0.75782929	1	1	2	2	0.42
356.54845	2	6	106.jpg	2	0.68574946	1	1	0	0	0
363.27595	2	14	119.jpg	2	0.97836878	1	0	0	0	0.01
374.10219	2	13	126.jpg	1	0.6295107	1	0	2	2	0.48
380.82492	2	9	128.jpg	1	1.157828	1	0	1	1	0.23
