onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0307436	2	9	132.jpg	1	0.63259607	1	0	1	1	0.29
8.7588997	2	14	134.jpg	2	0.9467786	1	0	0	0	-0.02
19.594145	2	1	103.jpg	1	0.5681413	1	1	1	1	0.21
25.286609	2	16	126.jpg	2	0.96703181	1	0	0	0	0.03
34.063121	2	3	117.jpg	1	0.9006324	1	1	1	1	0.22
41.803489	2	11	133.jpg	1	0.99149049	1	0	1	1	0.24
47.503591	2	10	129.jpg	2	0.94517456	1	0	0	-1	-0.23
53.203613	2	7	119.jpg	1	0.58571004	1	1	2	2	0.41
61.986965	2	8	118.jpg	2	0.70904719	1	1	0	0	0.01
69.735956	2	15	114.jpg	1	0.93591501	1	0	2	2	0.41
75.420274	2	4	111.jpg	2	0.89230057	1	1	0	-1	-0.21
86.238559	2	2	125.jpg	2	0.9821069	1	1	0	0	0.02
96.023498	2	13	137.jpg	1	0.85932519	1	0	2	2	0.42
104.80825	2	9	132.jpg	1	0.63953159	1	0	1	0	-0.09
110.50917	2	14	134.jpg	2	0.84504169	1	0	0	0	0.01
116.20136	2	5	106.jpg	1	0.81686352	1	1	2	2	0.46
121.89183	2	12	136.jpg	2	0.80336968	1	0	0	0	0.05
129.63737	2	16	126.jpg	2	0.75661484	1	0	0	-1	-0.26
137.3801	2	6	115.jpg	2	1.3176894	1	1	0	0	-0.04
146.15407	2	13	137.jpg	1	0.69810383	1	0	2	2	0.41
152.88749	2	14	134.jpg	2	0.76216114	1	0	0	0	0.03
163.72068	2	9	132.jpg	1	0.69852324	1	0	1	1	0.2
172.50367	2	5	106.jpg	1	0.60877436	1	1	2	0	-0.01
179.22111	2	6	115.jpg	2	0.8455861	1	1	0	0	0.01
185.93859	2	10	129.jpg	2	0.91000635	1	0	0	0	-0.04
194.70639	2	3	117.jpg	1	0.92585699	1	1	1	1	0.27
202.4579	2	8	118.jpg	2	0.69361836	1	1	0	0	-0.01
209.1913	2	12	136.jpg	-1	n/a	n/a	0	0	0	-0.5
216.94284	2	7	119.jpg	1	0.61654944	1	1	2	2	0.43
223.67116	2	4	111.jpg	2	1.0204005	1	1	0	0	-0.02
231.41226	2	11	133.jpg	1	0.94238978	1	0	1	1	0.27
241.20463	2	2	125.jpg	2	0.72448021	1	1	0	-1	-0.21
249.9799	2	15	114.jpg	1	0.96850591	1	0	2	2	0.49
259.77147	2	1	103.jpg	1	0.5856508	1	1	1	1	0.27
265.47195	2	12	136.jpg	1	1.1654616	0	0	0	0	-0.23
271.1717	2	8	118.jpg	2	0.62006072	1	1	0	0	0.02
277.88835	2	2	125.jpg	2	0.67096528	1	1	0	0	0.05
286.65531	2	11	133.jpg	1	1.4194266	1	0	1	1	0.2
296.44006	2	10	129.jpg	2	0.78927403	1	0	0	0	0.02
305.20816	2	7	119.jpg	1	0.65172173	1	1	2	2	0.41
311.94259	2	1	103.jpg	1	0.54562593	1	1	1	1	0.24
317.64365	2	15	114.jpg	1	1.0806877	1	0	2	2	0.48
327.4452	2	3	117.jpg	1	0.64235487	1	1	1	1	0.21
335.18863	2	4	111.jpg	2	1.3079071	1	1	0	0	0.01
341.91433	2	16	126.jpg	2	0.76605016	1	0	0	0	-0.01
349.6553	2	5	106.jpg	1	1.3639543	1	1	2	2	0.45
356.38846	2	6	115.jpg	2	1.6522084	1	1	0	0	-0.01
363.12188	2	14	134.jpg	2	1.2682685	1	0	0	0	0
373.95534	2	13	137.jpg	1	0.88371387	1	0	2	2	0.45
380.68825	2	9	132.jpg	1	1.5587612	1	0	1	1	0.27
