onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0311601	2	9	117.jpg	1	0.81170559	1	0	1	1	0.25
8.7628391	2	14	109.jpg	2	0.76373483	1	0	0	0	0.03
19.597745	2	1	104.jpg	2	0.84289922	0	1	1	1	-0.01
25.290055	2	16	137.jpg	2	0.86194611	1	0	0	0	0.02
34.20981	2	3	112.jpg	1	0.65423302	1	1	1	1	0.21
41.957641	2	11	106.jpg	1	0.71732897	1	0	1	1	0.27
47.65791	2	10	113.jpg	2	0.76957046	1	0	0	-1	-0.27
53.357197	2	7	101.jpg	1	0.78376617	1	1	2	2	0.46
62.14118	2	8	121.jpg	2	1.3886652	1	1	0	0	0.05
69.891009	2	15	125.jpg	1	0.713854	1	0	2	2	0.48
75.57518	2	4	122.jpg	2	0.7203937	1	1	0	-1	-0.21
86.391759	2	2	105.jpg	2	0.73892667	1	1	0	0	-0.01
96.177583	2	13	116.jpg	1	0.66747597	1	0	2	2	0.42
104.96225	2	9	117.jpg	1	0.68091663	1	0	1	0	-0.09
110.66331	2	14	109.jpg	2	0.70499319	1	0	0	0	-0.03
116.36397	2	5	102.jpg	1	0.94158824	1	1	2	2	0.47
122.0569	2	12	138.jpg	-1	n/a	n/a	0	0	0	-0.5
129.79956	2	16	137.jpg	2	0.89774086	1	0	0	-1	-0.21
137.54148	2	6	131.jpg	1	0.98042587	0	1	0	0	-0.23
146.32492	2	13	116.jpg	1	0.74721022	1	0	2	2	0.41
153.05386	2	14	109.jpg	2	0.59255674	1	0	0	0	-0.03
163.87509	2	9	117.jpg	1	0.54277804	1	0	1	1	0.27
172.65851	2	5	102.jpg	1	0.58340685	1	1	2	0	-0.07
179.37524	2	6	131.jpg	1	0.65528965	0	1	0	0	-0.29
186.09279	2	10	113.jpg	2	0.66929477	1	0	0	0	0.04
194.86159	2	3	112.jpg	1	0.59072382	1	1	1	1	0.21
202.61206	2	8	121.jpg	2	1.3400661	1	1	0	0	0.05
209.34735	2	12	138.jpg	2	0.8708254	1	0	0	0	0
217.09756	2	7	101.jpg	1	0.65319661	1	1	2	2	0.45
223.83306	2	4	122.jpg	2	0.6053305	1	1	0	0	0
231.57517	2	11	106.jpg	1	0.61084569	1	0	1	1	0.24
241.36827	2	2	105.jpg	2	0.85213807	1	1	0	-1	-0.22
250.14211	2	15	125.jpg	1	0.79121738	1	0	2	2	0.44
259.94224	2	1	104.jpg	2	0.8209862	0	1	1	1	-0.02
265.64229	2	12	138.jpg	2	0.70132695	1	0	0	0	-0.01
271.34058	2	8	121.jpg	2	1.2766492	1	1	0	0	0.03
278.05908	2	2	105.jpg	2	0.81611667	1	1	0	0	0.01
286.82619	2	11	106.jpg	1	0.64349804	1	0	1	1	0.27
296.61114	2	10	113.jpg	2	0.61927076	1	0	0	0	0.03
305.37905	2	7	101.jpg	1	0.59079516	1	1	2	2	0.47
312.1132	2	1	104.jpg	2	0.67915724	0	1	1	1	-0.07
317.81443	2	15	125.jpg	1	0.68536713	1	0	2	2	0.5
327.61608	2	3	112.jpg	1	0.63264043	1	1	1	1	0.2
335.35869	2	4	122.jpg	2	0.8375311	1	1	0	0	-0.02
342.08522	2	16	137.jpg	2	1.1500111	1	0	0	0	0.04
349.82588	2	5	102.jpg	1	1.4175975	1	1	2	2	0.48
356.55847	2	6	131.jpg	1	0.80163899	0	1	0	0	-0.22
363.29291	2	14	109.jpg	2	0.66251347	1	0	0	0	-0.05
374.1248	2	13	116.jpg	1	0.70907563	1	0	2	2	0.49
380.84298	2	9	117.jpg	1	1.0048249	1	0	1	1	0.29
