onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0281886	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
5.2573638	1.5	5	102.jpg	n/a	n/a	n/a	1	1	n/a
8.2347863	1.5	8	121.jpg	n/a	n/a	n/a	1	0	n/a
10.527467	1.5	6	131.jpg	n/a	n/a	n/a	1	0	n/a
12.509021	1.5	3	112.jpg	n/a	n/a	n/a	1	1	n/a
15.535801	1.5	1	104.jpg	n/a	n/a	n/a	1	1	n/a
17.988649	1.5	9	117.jpg	n/a	n/a	n/a	0	1	n/a
20.550059	1.5	15	125.jpg	n/a	n/a	n/a	0	1	n/a
22.556787	1.5	16	137.jpg	n/a	n/a	n/a	0	0	n/a
25.227225	1.5	5	102.jpg	1	0.50582201	1	1	1	27.727225
32.450553	1.5	12	138.jpg	n/a	n/a	n/a	0	0	n/a
35.659153	1.5	7	101.jpg	n/a	n/a	n/a	1	1	n/a
38.257388	1.5	1	104.jpg	n/a	n/a	n/a	1	1	n/a
40.960114	1.5	16	137.jpg	2	0.55470316	1	0	0	43.460114
47.49728	1.5	8	121.jpg	n/a	n/a	n/a	1	0	n/a
50.630778	1.5	6	131.jpg	n/a	n/a	n/a	1	0	n/a
53.543943	1.5	15	125.jpg	n/a	n/a	n/a	0	1	n/a
55.420827	1.5	9	117.jpg	n/a	n/a	n/a	0	1	n/a
57.46748	1.5	2	105.jpg	n/a	n/a	n/a	1	0	n/a
59.987151	1.5	4	122.jpg	n/a	n/a	n/a	1	0	n/a
61.78349	1.5	10	113.jpg	n/a	n/a	n/a	0	0	n/a
64.844721	1.5	12	138.jpg	n/a	n/a	n/a	0	0	n/a
66.760923	1.5	13	116.jpg	n/a	n/a	n/a	0	1	n/a
69.417579	1.5	9	117.jpg	n/a	n/a	n/a	0	1	n/a
72.657532	1.5	10	113.jpg	n/a	n/a	n/a	0	0	n/a
74.580642	1.5	16	137.jpg	n/a	n/a	n/a	0	0	n/a
76.364211	1.5	11	106.jpg	n/a	n/a	n/a	0	1	n/a
78.497677	1.5	13	116.jpg	n/a	n/a	n/a	0	1	n/a
81.550975	1.5	12	138.jpg	n/a	n/a	n/a	0	0	n/a
83.430951	1.5	6	131.jpg	1	0.73569555	0	1	0	85.930951
