onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0334263	2	9	127.jpg	1	1.0269275	1	0	1	1	0.28
8.7613698	2	14	134.jpg	2	0.75345878	1	0	0	0	-0.01
19.579419	2	1	126.jpg	1	0.65158067	1	1	1	1	0.23
25.263905	2	16	113.jpg	2	0.6298827	1	0	0	0	0
34.048271	2	3	107.jpg	1	0.59732189	1	1	1	1	0.25
41.799797	2	11	117.jpg	1	0.81438787	1	0	1	1	0.3
47.500778	2	10	116.jpg	2	0.6787372	1	0	0	-1	-0.21
53.19384	2	7	135.jpg	1	0.57365133	1	1	2	2	0.48
61.969427	2	8	111.jpg	2	1.3267816	1	1	0	0	0
69.712167	2	15	115.jpg	1	0.73365229	1	0	2	2	0.49
75.41094	2	4	114.jpg	2	0.64814383	1	1	0	-1	-0.29
86.244788	2	2	124.jpg	2	0.74328628	1	1	0	0	-0.02
96.04478	2	13	101.jpg	1	0.6665188	1	0	2	2	0.43
104.82803	2	9	127.jpg	1	0.69538657	1	0	1	0	-0.05
110.52791	2	14	134.jpg	2	0.72628805	1	0	0	0	-0.04
116.21187	2	5	131.jpg	1	0.51945563	1	1	2	2	0.45
121.89658	2	12	129.jpg	2	0.71693258	1	0	0	0	0.01
129.63005	2	16	113.jpg	2	0.75994795	1	0	0	-1	-0.26
137.38187	2	6	137.jpg	2	0.66836024	1	1	0	0	-0.03
146.16722	2	13	101.jpg	1	0.55354778	1	0	2	2	0.5
152.9015	2	14	134.jpg	2	0.62744656	1	0	0	0	0
163.728	2	9	127.jpg	1	0.66816727	1	0	1	1	0.23
172.50448	2	5	131.jpg	1	0.63721251	1	1	2	0	-0.01
179.22807	2	6	137.jpg	2	0.69334705	1	1	0	0	-0.04
185.96164	2	10	116.jpg	2	0.73094833	1	0	0	0	-0.03
194.74273	2	3	107.jpg	1	0.66880843	1	1	1	1	0.26
202.47844	2	8	111.jpg	2	0.73147187	1	1	0	0	-0.02
209.19501	2	12	129.jpg	2	0.69772086	1	0	0	0	-0.03
216.92886	2	7	135.jpg	1	0.71020315	1	1	2	2	0.43
223.64672	2	4	114.jpg	2	0.65572984	1	1	0	0	0
231.3813	2	11	117.jpg	1	0.55776742	1	0	1	1	0.27
241.18159	2	2	124.jpg	2	0.64725613	1	1	0	-1	-0.27
249.9678	2	15	115.jpg	1	0.80687158	1	0	2	2	0.46
259.76948	2	1	126.jpg	1	0.61105164	1	1	1	1	0.29
265.4619	2	12	129.jpg	2	0.63512645	1	0	0	0	-0.05
271.15503	2	8	111.jpg	2	0.73667619	1	1	0	0	0.02
277.87882	2	2	124.jpg	2	0.62776796	1	1	0	0	0.02
286.65708	2	11	117.jpg	1	0.54443799	1	0	1	1	0.29
296.44535	2	10	116.jpg	2	0.57727376	1	0	0	0	0.01
305.22875	2	7	135.jpg	1	0.55641524	1	1	2	2	0.43
311.96288	2	1	126.jpg	1	0.68097584	1	1	1	1	0.3
317.64563	2	15	115.jpg	1	0.97393339	1	0	2	2	0.43
327.43052	2	3	107.jpg	1	0.60325929	1	1	1	1	0.25
335.16505	2	4	114.jpg	2	0.64488847	1	1	0	0	0.05
341.89923	2	16	113.jpg	2	0.69561811	1	0	0	0	0.02
349.65047	2	5	131.jpg	1	0.60113216	1	1	2	2	0.43
356.38504	2	6	137.jpg	2	0.57440309	1	1	0	0	-0.01
363.11973	2	14	134.jpg	2	0.71497675	1	0	0	0	-0.01
373.94585	2	13	101.jpg	1	0.57500194	1	0	2	2	0.43
380.66252	2	9	127.jpg	1	0.67350631	1	0	1	1	0.26
