onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.413292	2	3	105.jpg	2	0.836539	0	1	1	1	-0.08
43.147556	2	10	124.jpg	2	1.0083565	1	0	0	0	0.02
49.880457	2	9	128.jpg	1	1.1987223	1	0	1	1	0.2
66.613326	2	6	125.jpg	2	0.8870428	1	1	0	0	-0.03
77.346413	2	1	135.jpg	1	0.89048402	1	1	1	0	-0.05
88.063338	2	15	137.jpg	1	1.2322091	1	0	2	2	0.41
104.77237	2	12	123.jpg	2	1.4398409	1	0	0	0	0.05
111.50934	2	2	126.jpg	2	0.90860418	1	1	0	0	-0.04
126.24508	2	11	130.jpg	1	1.7701476	1	0	1	0	-0.05
136.98069	2	8	111.jpg	1	1.1782498	0	1	0	0	-0.22
151.7148	2	7	116.jpg	1	0.78591576	1	1	2	2	0.49
164.44721	2	16	102.jpg	2	0.81204529	1	0	0	0	0.04
171.18031	2	14	138.jpg	2	1.5036459	1	0	0	-1	-0.28
177.91361	2	4	122.jpg	2	1.2049672	1	1	0	0	0.04
184.62129	2	5	106.jpg	1	0.75517719	1	1	2	2	0.49
193.33048	2	8	111.jpg	2	1.0733277	1	1	0	-1	-0.29
204.04116	2	9	128.jpg	1	0.93996598	1	0	1	1	0.2
210.77541	2	2	126.jpg	2	0.82988264	1	1	0	0	-0.04
219.51019	2	13	109.jpg	1	0.91830811	1	0	2	0	-0.1
232.24686	2	14	138.jpg	2	1.1039229	1	0	0	0	0
244.98309	2	13	109.jpg	1	1.0804538	1	0	2	2	0.42
253.71536	2	1	135.jpg	1	0.8380272	1	1	1	1	0.28
270.44725	2	12	123.jpg	2	1.0282281	1	0	0	0	0.03
277.18075	2	3	105.jpg	2	1.0872661	0	1	1	1	-0.1
283.91431	2	16	102.jpg	2	0.95337103	1	0	0	0	0
296.63058	2	15	137.jpg	1	1.4910056	1	0	2	0	-0.02
313.33045	2	5	106.jpg	1	0.75460334	1	1	2	2	0.46
320.06044	2	10	124.jpg	2	1.1051701	1	0	0	0	0.04
332.79551	2	3	105.jpg	2	0.9514833	0	1	1	0	0.27
339.53085	2	4	122.jpg	2	1.1986434	1	1	0	0	0.02
352.26529	2	7	116.jpg	1	0.98136217	1	1	2	2	0.44
362.99829	2	11	130.jpg	1	1.1038051	1	0	1	1	0.26
371.73108	2	6	125.jpg	2	0.91615307	1	1	0	-1	-0.22
384.4654	2	15	137.jpg	1	1.5443788	1	0	2	2	0.44
399.17273	2	1	135.jpg	1	0.81746572	1	1	1	1	0.25
411.88068	2	13	109.jpg	1	0.91979111	1	0	2	2	0.4
424.61089	2	10	124.jpg	2	0.83675665	1	0	0	0	0.04
433.34539	2	4	122.jpg	2	0.84344913	1	1	0	0	-0.04
442.08104	2	11	130.jpg	1	0.84991118	1	0	1	1	0.28
450.81568	2	16	102.jpg	2	0.83896365	1	0	0	0	0.05
465.54825	2	8	111.jpg	2	1.0313498	1	1	0	0	0.04
472.28164	2	7	116.jpg	1	1.1787249	1	1	2	0	-0.08
489.01515	2	6	125.jpg	2	0.79960641	1	1	0	0	-0.03
499.74012	2	12	123.jpg	2	0.81637714	1	0	0	-1	-0.3
506.44901	2	5	106.jpg	1	0.76614034	1	1	2	2	0.47
515.17526	2	2	126.jpg	2	0.9488217	1	1	0	0	-0.03
