onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0235022	2	9	105.jpg	1	0.9603281	1	0	1	1	0.25
8.7600876	2	14	127.jpg	2	0.93129959	1	0	0	0	-0.02
19.582811	2	1	132.jpg	1	0.70913503	1	1	1	1	0.29
25.265798	2	16	114.jpg	2	0.83771229	1	0	0	0	-0.01
34.03357	2	3	106.jpg	1	0.64755015	1	1	1	1	0.28
41.768283	2	11	131.jpg	1	0.88313582	1	0	1	1	0.25
47.450451	2	10	120.jpg	2	0.6891784	1	0	0	-1	-0.25
53.135159	2	7	101.jpg	1	0.64628657	1	1	2	2	0.46
61.900291	2	8	137.jpg	2	0.79596844	1	1	0	0	-0.03
69.638382	2	15	122.jpg	1	0.76455173	1	0	2	2	0.46
75.334072	2	4	112.jpg	2	0.62629258	1	1	0	-1	-0.21
86.157372	2	2	104.jpg	2	0.79122858	1	1	0	0	0.03
95.949802	2	13	124.jpg	1	0.78172759	1	0	2	2	0.45
104.71665	2	9	105.jpg	1	0.68424779	1	0	1	0	-0.04
110.41227	2	14	127.jpg	2	0.91696165	1	0	0	0	-0.04
116.10032	2	5	136.jpg	1	0.8043908	1	1	2	2	0.49
121.80172	2	12	135.jpg	2	0.88650242	1	0	0	0	0.01
129.55049	2	16	114.jpg	2	0.74678159	1	0	0	-1	-0.25
137.28445	2	6	110.jpg	2	0.74457322	1	1	0	0	-0.03
146.05063	2	13	124.jpg	1	0.67686095	1	0	2	2	0.5
152.76704	2	14	127.jpg	2	0.73162519	1	0	0	0	0.02
163.58738	2	9	105.jpg	1	0.69160041	1	0	1	1	0.28
172.3509	2	5	136.jpg	1	0.8155162	1	1	2	0	-0.04
179.06741	2	6	110.jpg	2	0.68113825	1	1	0	0	-0.02
185.79256	2	10	120.jpg	2	0.73976083	1	0	0	0	-0.02
194.56823	2	3	106.jpg	1	0.645503	1	1	1	1	0.21
202.3103	2	8	137.jpg	2	0.77472687	1	1	0	0	-0.04
209.03578	2	12	135.jpg	2	0.9114299	1	0	0	0	0
216.7806	2	7	101.jpg	1	0.85365832	1	1	2	2	0.5
223.50193	2	4	112.jpg	2	0.66592347	1	1	0	0	-0.03
231.25223	2	11	131.jpg	1	0.89660917	1	0	1	1	0.28
241.0355	2	2	104.jpg	2	0.74464098	1	1	0	-1	-0.29
249.8028	2	15	122.jpg	1	0.85402279	1	0	2	2	0.41
259.58681	2	1	132.jpg	1	0.77067099	1	1	1	1	0.22
265.27122	2	12	135.jpg	2	0.92066228	1	0	0	0	-0.02
270.95544	2	8	137.jpg	2	0.77713768	1	1	0	0	-0.04
277.66871	2	2	104.jpg	2	0.70853421	1	1	0	0	-0.02
286.43672	2	11	131.jpg	1	0.74172739	1	0	1	1	0.25
296.22688	2	10	120.jpg	2	0.76542748	1	0	0	0	0.01
305.00253	2	7	101.jpg	1	0.69954183	1	1	2	2	0.44
311.71899	2	1	132.jpg	1	0.64534452	1	1	1	1	0.24
317.41378	2	15	122.jpg	1	0.69952488	1	0	2	2	0.47
327.20306	2	3	106.jpg	1	0.67560172	1	1	1	1	0.28
334.95254	2	4	112.jpg	2	0.77877933	1	1	0	0	0.02
341.66975	2	16	114.jpg	2	0.95611536	1	0	0	0	0.02
349.40254	2	5	136.jpg	1	0.82140579	1	1	2	2	0.44
356.12066	2	6	110.jpg	2	0.68286887	1	1	0	0	-0.05
362.8376	2	14	127.jpg	2	0.90496711	1	0	0	0	0.03
373.65254	2	13	124.jpg	1	0.81657253	1	0	2	2	0.49
380.37001	2	9	105.jpg	1	0.71798904	1	0	1	1	0.27
