onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0922288	2	4	137.jpg	2	0.63469247	1	1	0	-1	-0.27
12.956637	2	2	105.jpg	2	0.61980561	1	1	0	0	-0.01
22.750529	2	13	138.jpg	1	0.72339702	1	0	2	2	0.48
31.518075	2	9	108.jpg	1	0.62178245	1	0	1	0	-0.08
37.202839	2	14	115.jpg	2	0.74111469	1	0	0	0	-0.02
42.886877	2	5	129.jpg	1	0.58388095	1	1	2	2	0.48
48.586634	2	12	131.jpg	2	0.64940348	1	0	0	0	-0.03
56.322201	2	16	110.jpg	2	0.63423165	1	0	0	-1	-0.22
64.073889	2	6	130.jpg	2	0.6538799	1	1	0	0	0.04
72.858681	2	13	138.jpg	1	0.74427383	1	0	2	2	0.48
79.582357	2	14	115.jpg	2	0.6651804	1	0	0	0	0
90.411467	2	9	108.jpg	1	0.70508696	1	0	1	1	0.27
99.185115	2	5	129.jpg	1	1.068507	1	1	2	0	-0.08
105.91801	2	6	130.jpg	2	0.55522382	1	1	0	0	0.01
112.65186	2	10	126.jpg	2	0.59359077	1	0	0	0	-0.01
121.43512	2	3	134.jpg	1	0.51355026	1	1	1	1	0.26
129.18533	2	8	119.jpg	2	0.67065739	1	1	0	0	0.05
135.9022	2	12	131.jpg	2	0.63802473	1	0	0	0	0.03
143.637	2	7	121.jpg	1	0.54794651	1	1	2	2	0.48
150.37144	2	4	137.jpg	2	0.59070631	1	1	0	0	-0.02
158.12278	2	11	122.jpg	1	0.75602515	1	0	1	1	0.27
167.92439	2	2	105.jpg	2	0.5913591	1	1	0	-1	-0.3
176.7065	2	15	136.jpg	1	0.53138042	1	0	2	2	0.47
186.50225	2	1	118.jpg	1	0.51169884	1	1	1	1	0.29
192.19515	2	12	131.jpg	2	0.61910334	1	0	0	0	-0.04
197.88584	2	8	119.jpg	2	0.7863759	1	1	0	0	0.02
204.61936	2	2	105.jpg	2	0.66666094	1	1	0	0	0.01
213.40239	2	11	122.jpg	1	0.56700314	1	0	1	1	0.25
223.20224	2	10	126.jpg	2	0.66770434	1	0	0	0	-0.03
231.98572	2	7	121.jpg	1	0.58576228	1	1	2	2	0.43
238.70171	2	1	118.jpg	1	0.55013849	1	1	1	1	0.27
244.38724	2	15	136.jpg	1	0.53330976	1	0	2	2	0.46
254.17208	2	3	134.jpg	1	0.55031708	1	1	1	1	0.25
261.92391	2	4	137.jpg	2	0.62824527	1	1	0	0	0
268.65828	2	16	110.jpg	2	0.65326466	1	0	0	0	0.04
276.40928	2	5	129.jpg	1	0.5588183	1	1	2	2	0.4
283.13558	2	6	130.jpg	2	0.62846986	1	1	0	0	-0.01
289.86086	2	14	115.jpg	2	0.71733862	1	0	0	0	-0.04
300.6863	2	13	138.jpg	1	0.82613349	1	0	2	2	0.48
307.41959	2	9	108.jpg	1	0.62120023	1	0	1	1	0.27
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
