onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
28.470735	2	3	134.jpg	1	0.53901632	1	1	1	1	0.21
38.270686	2	10	126.jpg	2	0.7054267	1	0	0	0	0.02
43.970731	2	9	108.jpg	1	0.65479598	1	0	1	1	0.28
54.784922	2	6	130.jpg	2	0.64936252	1	1	0	0	0.05
62.522178	2	1	118.jpg	1	0.5292435	1	1	1	0	-0.02
70.256695	2	15	136.jpg	1	0.59244518	1	0	2	2	0.43
81.087672	2	12	131.jpg	2	0.78770043	1	0	0	0	0.03
86.776351	2	2	105.jpg	2	0.73850058	1	1	0	0	-0.03
96.577535	2	11	122.jpg	1	0.75386886	1	0	1	0	-0.08
104.32121	2	8	119.jpg	2	0.86899112	1	1	0	0	0.02
114.11437	2	7	121.jpg	1	0.64403287	1	1	2	2	0.42
122.88754	2	16	110.jpg	2	0.709986	1	0	0	0	-0.02
128.5879	2	14	115.jpg	2	1.0135887	1	0	0	-1	-0.22
134.28779	2	4	137.jpg	2	0.70605058	1	1	0	0	-0.02
139.9878	2	5	129.jpg	1	0.82859765	1	1	2	2	0.43
146.72118	2	8	119.jpg	2	0.72383062	1	1	0	-1	-0.24
154.45373	2	9	108.jpg	1	0.89999678	1	0	1	1	0.21
160.13847	2	2	105.jpg	2	0.66834738	1	1	0	0	-0.03
166.85631	2	13	138.jpg	1	1.0103429	1	0	2	0	-0.04
175.62421	2	14	115.jpg	2	0.71734957	1	0	0	0	-0.01
184.40927	2	13	138.jpg	1	0.66173414	1	0	2	2	0.45
191.14153	2	1	118.jpg	1	0.61891788	1	1	1	1	0.21
201.97101	2	12	131.jpg	2	0.76065636	1	0	0	0	-0.01
207.66297	2	3	134.jpg	1	0.64245185	1	1	1	1	0.28
213.35525	2	16	110.jpg	2	0.68272913	1	0	0	0	-0.02
222.13269	2	15	136.jpg	1	0.58325612	1	0	2	0	-0.06
232.95555	2	5	129.jpg	1	0.58753025	1	1	2	2	0.47
238.65509	2	10	126.jpg	2	0.67422127	1	0	0	0	-0.03
247.43841	2	3	134.jpg	1	0.59523444	1	1	1	0	-0.04
253.12373	2	4	137.jpg	2	0.57393518	1	1	0	0	0
261.9055	2	7	121.jpg	1	0.6372361	1	1	2	2	0.41
269.64031	2	11	122.jpg	1	0.64444078	1	0	1	1	0.27
276.35892	2	6	130.jpg	2	0.88580649	1	1	0	-1	-0.24
285.14063	2	15	136.jpg	1	0.57781929	1	0	2	2	0.45
294.94444	2	1	118.jpg	1	0.66947094	1	1	1	1	0.23
303.72891	2	13	138.jpg	1	0.72218829	1	0	2	2	0.47
312.5056	2	10	126.jpg	2	0.65471133	1	0	0	0	0.04
319.23146	2	4	137.jpg	2	0.64809634	1	1	0	0	0.04
325.95558	2	11	122.jpg	1	0.70695879	1	0	1	1	0.28
332.68901	2	16	110.jpg	2	0.68284211	1	0	0	0	0.01
342.48771	2	8	119.jpg	2	0.67658191	1	1	0	0	-0.03
348.1885	2	7	121.jpg	1	0.70475279	1	1	2	0	-0.1
359.00587	2	6	130.jpg	2	0.76901327	1	1	0	0	-0.04
366.73964	2	12	131.jpg	2	0.71237569	1	0	0	-1	-0.24
372.42361	2	5	129.jpg	1	0.59095096	1	1	2	2	0.43
379.14006	2	2	105.jpg	2	0.62857415	1	1	0	0	0.04
