onset	duration	stim	picture	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0342697	2	9	137	1	1.0310078	1	0	1	1	0.25
8.762339	2	14	138	2	0.75595257	1	0	0	0	-0.02
19.598127	2	1	134	1	1.14011	1	1	1	1	0.26
25.29072	2	16	120	2	0.60508033	1	0	0	0	0.04
34.065578	2	3	136	1	0.74579266	1	1	1	1	0.27
41.807829	2	11	127	1	0.64701427	1	0	1	1	0.21
47.50795	2	10	125	2	1.0357988	1	0	0	-1	-0.2
53.208693	2	7	103	1	0.57463723	1	1	2	2	0.5
61.991403	2	8	114	2	0.91025908	1	1	0	0	0
69.741255	2	15	121	1	0.53926637	1	0	2	2	0.45
75.441416	2	4	111	2	0.65014958	1	1	0	-1	-0.28
86.25867	2	2	129	2	0.77479849	1	1	0	0	-0.03
96.043782	2	13	128	1	0.56650786	1	0	2	2	0.48
104.8286	2	9	137	1	0.78506273	1	0	1	0	-0.07
110.52942	2	14	138	2	0.6359488	1	0	0	0	0.02
116.23043	2	5	113	1	0.54313006	1	1	2	2	0.42
121.93134	2	12	116	2	0.71326561	1	0	0	0	0
129.67374	2	16	120	2	0.67386711	1	0	0	-1	-0.23
137.41623	2	6	130	2	0.75353797	1	1	0	0	-0.04
146.19202	2	13	128	1	0.56477945	1	0	2	2	0.41
152.92525	2	14	138	2	0.58988511	1	0	0	0	-0.03
163.75854	2	9	137	1	0.72200255	1	0	1	1	0.24
172.54269	2	5	113	1	0.55542392	1	1	2	0	-0.01
179.27546	2	6	130	2	0.59666633	1	1	0	0	-0.02
185.99198	2	10	125	2	0.77894117	1	0	0	0	0.05
194.75986	2	3	136	1	0.56433077	1	1	1	1	0.24
202.49469	2	8	114	2	0.99560035	1	1	0	0	0.02
209.22906	2	12	116	2	0.71911791	1	0	0	0	0.02
216.98036	2	7	103	1	0.64736559	1	1	2	2	0.44
223.71506	2	4	111	2	0.79481433	1	1	0	0	0.01
231.45656	2	11	127	1	0.66566577	1	0	1	1	0.2
241.25025	2	2	129	2	0.77377149	1	1	0	-1	-0.3
250.02528	2	15	121	1	0.57867007	1	0	2	2	0.49
259.82546	2	1	134	1	0.8041942	1	1	1	1	0.27
265.52553	2	12	116	2	0.70000495	1	0	0	0	-0.01
271.22571	2	8	114	2	0.77193688	1	1	0	0	-0.04
277.95887	2	2	129	2	0.8800755	1	1	0	0	0.02
286.72568	2	11	127	1	0.57876737	1	0	1	1	0.27
296.50952	2	10	125	2	0.61028432	1	0	0	0	-0.01
305.27818	2	7	103	1	0.58183542	1	1	2	2	0.46
312.01242	2	1	134	1	0.74434773	1	1	1	1	0.3
317.71374	2	15	121	1	0.54173337	1	0	2	2	0.49
327.51546	2	3	136	1	0.74759138	1	1	1	1	0.27
335.25917	2	4	111	2	0.78392243	1	1	0	0	-0.04
341.98393	2	16	120	2	0.67653259	1	0	0	0	-0.03
349.72623	2	5	113	-1	n/a	n/a	1	2	2	-0.5
356.45927	2	6	130	-1	n/a	n/a	1	0	0	-0.5
-10.88	2	14	138	0	n/a	0	0	0	0	0
-10.88	2	13	128	0	n/a	0	0	2	2	0
-10.88	2	9	137	0	n/a	0	0	1	1	0
